rho_star,T_star,N,ref_source,S_ref,rigHS,Lin2003,Desj,R2PT,3PT,d_rigHS,d_Lin,d_Desj,d_R2PT,d_3PT
0.050,1.400,512,MBWR,13.671,13.634,13.752,13.734,13.600,13.646,-0.037,+0.081,+0.063,-0.071,-0.025
0.050,1.600,512,MBWR,13.885,14.049,14.172,14.149,14.043,14.000,+0.164,+0.287,+0.264,+0.158,+0.115
0.050,1.800,512,MBWR,14.071,14.060,14.161,14.141,14.022,14.052,-0.011,+0.090,+0.070,-0.049,-0.019
0.050,2.000,512,MBWR,14.235,14.300,14.401,14.382,14.281,14.278,+0.065,+0.166,+0.147,+0.046,+0.043
0.100,1.250,512,MBWR,12.636,12.428,12.626,12.603,12.401,12.431,-0.208,-0.010,-0.033,-0.235,-0.205
0.150,1.300,512,MBWR,12.154,11.911,12.154,12.130,11.912,11.906,-0.243,-0.000,-0.024,-0.242,-0.248
0.200,1.400,512,MBWR,11.873,11.611,11.880,11.859,11.623,11.604,-0.262,+0.007,-0.014,-0.250,-0.269
0.200,1.600,512,MBWR,12.125,11.943,12.213,12.187,12.021,11.930,-0.182,+0.088,+0.062,-0.104,-0.195
0.200,1.800,512,MBWR,12.334,12.270,12.541,12.514,12.365,12.243,-0.064,+0.207,+0.180,+0.030,-0.091
0.200,2.000,512,MBWR,12.515,12.443,12.703,12.676,12.525,12.420,-0.072,+0.188,+0.161,+0.010,-0.095
0.250,1.300,512,MBWR,11.363,11.053,11.378,11.359,11.165,11.045,-0.310,+0.015,-0.004,-0.198,-0.318
0.300,1.300,512,MBWR,11.051,10.717,11.060,11.047,10.815,10.714,-0.334,+0.009,-0.004,-0.236,-0.337
0.320,1.320,512,MBWR,10.969,10.641,10.980,10.969,10.710,10.643,-0.328,+0.011,+0.000,-0.258,-0.326
0.350,1.350,512,MBWR,10.851,10.528,10.878,10.869,10.608,10.524,-0.323,+0.027,+0.018,-0.243,-0.327
0.400,0.900,512,MBWR,9.512,8.445,8.896,8.909,8.612,8.526,-1.067,-0.616,-0.603,-0.900,-0.986
0.400,1.400,512,MBWR,10.661,10.394,10.796,10.788,10.601,10.380,-0.267,+0.135,+0.127,-0.061,-0.281
0.400,1.600,512,MBWR,10.920,10.658,11.036,11.028,10.823,10.653,-0.262,+0.116,+0.108,-0.097,-0.267
0.400,1.800,512,MBWR,11.138,10.938,11.323,11.314,11.138,10.924,-0.200,+0.185,+0.176,-0.000,-0.214
0.400,2.000,512,MBWR,11.327,11.170,11.550,11.541,11.371,11.150,-0.157,+0.223,+0.214,+0.044,-0.177
0.550,1.400,512,MBWR,9.873,9.574,10.000,10.009,9.756,9.615,-0.299,+0.127,+0.136,-0.117,-0.258
0.550,1.600,512,MBWR,10.129,9.851,10.271,10.279,10.020,9.891,-0.278,+0.142,+0.150,-0.109,-0.238
0.550,1.800,512,MBWR,10.351,10.097,10.531,10.537,10.341,10.127,-0.254,+0.180,+0.186,-0.010,-0.224
0.700,1.000,512,MBWR,8.281,7.917,8.412,8.432,8.219,8.041,-0.364,+0.131,+0.151,-0.062,-0.240
0.700,1.100,512,MBWR,8.487,8.124,8.617,8.637,8.427,8.247,-0.363,+0.130,+0.150,-0.060,-0.240
0.700,1.250,512,MBWR,8.755,8.446,8.915,8.937,8.683,8.571,-0.309,+0.160,+0.182,-0.072,-0.184
0.700,1.400,512,MBWR,8.990,8.675,9.161,9.181,8.981,8.792,-0.315,+0.171,+0.191,-0.009,-0.198
0.720,1.000,512,MBWR,8.145,7.766,8.260,8.281,8.063,7.896,-0.379,+0.115,+0.136,-0.082,-0.249
0.720,1.100,512,MBWR,8.353,7.998,8.491,8.512,8.301,8.132,-0.355,+0.138,+0.159,-0.052,-0.221
0.720,1.250,512,MBWR,8.625,8.288,8.770,8.792,8.565,8.436,-0.337,+0.145,+0.167,-0.060,-0.189
0.720,1.400,512,MBWR,8.863,8.552,9.029,9.051,8.825,8.681,-0.311,+0.166,+0.188,-0.038,-0.182
0.750,0.900,512,MBWR,7.688,7.314,7.805,7.826,7.594,7.458,-0.374,+0.117,+0.138,-0.095,-0.230
0.750,1.000,512,MBWR,7.934,7.563,8.059,8.080,7.867,7.705,-0.371,+0.125,+0.146,-0.067,-0.229
0.750,1.100,512,MBWR,8.148,7.797,8.289,8.311,8.094,7.927,-0.351,+0.141,+0.163,-0.054,-0.221
0.750,1.250,512,MBWR,8.426,8.086,8.580,8.601,8.399,8.214,-0.340,+0.154,+0.175,-0.027,-0.212
0.750,1.400,512,MBWR,8.670,8.349,8.837,8.860,8.651,8.477,-0.321,+0.167,+0.190,-0.018,-0.193
0.780,0.850,512,MBWR,7.318,6.966,7.457,7.476,7.253,7.120,-0.352,+0.139,+0.158,-0.065,-0.198
0.780,0.900,512,MBWR,7.461,7.101,7.593,7.613,7.391,7.275,-0.360,+0.132,+0.152,-0.070,-0.186
0.780,1.000,512,MBWR,7.716,7.349,7.841,7.862,7.643,7.514,-0.367,+0.125,+0.146,-0.073,-0.202
0.780,1.100,512,MBWR,7.937,7.589,8.078,8.099,7.874,7.752,-0.348,+0.141,+0.162,-0.063,-0.185
0.780,1.250,512,MBWR,8.222,7.884,8.377,8.399,8.193,8.017,-0.338,+0.155,+0.177,-0.029,-0.205
0.780,1.400,512,MBWR,8.471,8.156,8.650,8.672,8.478,8.288,-0.315,+0.179,+0.201,+0.006,-0.183
0.800,0.850,512,MBWR,7.157,6.812,7.297,7.316,7.090,6.998,-0.345,+0.140,+0.159,-0.067,-0.159
0.800,0.900,512,MBWR,7.305,6.974,7.455,7.476,7.229,7.167,-0.331,+0.150,+0.171,-0.076,-0.138
0.800,1.000,512,MBWR,7.567,7.216,7.703,7.723,7.508,7.381,-0.351,+0.136,+0.156,-0.059,-0.186
0.800,1.100,512,MBWR,7.792,7.462,7.943,7.967,7.726,7.618,-0.330,+0.151,+0.175,-0.066,-0.174
0.800,1.250,512,MBWR,8.083,7.752,8.243,8.265,8.053,7.903,-0.331,+0.160,+0.182,-0.031,-0.180
0.800,1.400,512,MBWR,8.337,8.024,8.515,8.538,8.332,8.177,-0.313,+0.178,+0.201,-0.005,-0.160
0.820,0.800,512,MBWR,6.831,6.506,6.981,6.998,6.766,6.712,-0.325,+0.150,+0.167,-0.066,-0.119
0.840,0.720,512,MBWR,6.402,6.069,6.525,6.538,6.286,6.233,-0.333,+0.123,+0.136,-0.116,-0.169
0.850,0.750,512,MBWR,6.402,6.098,6.555,6.569,6.309,6.362,-0.304,+0.153,+0.167,-0.093,-0.040
0.850,0.900,512,MBWR,6.898,6.569,7.037,7.055,6.811,6.805,-0.329,+0.139,+0.157,-0.087,-0.093
0.850,1.000,512,MBWR,7.180,6.828,7.304,7.323,7.098,7.045,-0.352,+0.124,+0.143,-0.082,-0.135
0.850,1.100,512,MBWR,7.420,7.068,7.547,7.566,7.347,7.279,-0.352,+0.127,+0.146,-0.074,-0.141
0.850,1.250,512,MBWR,7.727,7.392,7.876,7.898,7.686,7.589,-0.335,+0.149,+0.171,-0.040,-0.138
0.850,1.400,512,MBWR,7.992,7.677,8.165,8.187,7.983,7.863,-0.315,+0.173,+0.195,-0.009,-0.129
0.900,0.750,512,MBWR,5.952,5.663,6.072,6.078,5.787,5.907,-0.289,+0.120,+0.126,-0.164,-0.045
0.900,0.800,512,MBWR,6.120,5.839,6.263,6.270,5.998,6.094,-0.281,+0.143,+0.150,-0.122,-0.026
0.950,0.800,512,MBWR,5.651,5.404,5.769,5.772,5.434,5.641,-0.247,+0.118,+0.121,-0.217,-0.010
0.950,0.850,512,MBWR,5.833,5.573,5.949,5.952,5.631,5.814,-0.260,+0.116,+0.119,-0.202,-0.019
0.975,1.400,512,MBWR,7.078,6.764,7.205,7.216,6.986,7.037,-0.314,+0.127,+0.138,-0.092,-0.041
0.975,1.600,512,MBWR,7.430,7.127,7.582,7.595,7.384,7.300,-0.303,+0.152,+0.165,-0.046,-0.130
0.980,0.900,512,MBWR,5.727,5.493,5.851,5.853,5.512,5.721,-0.234,+0.124,+0.126,-0.215,-0.006
1.000,0.950,512,MBWR,5.714,5.483,5.822,5.822,5.461,5.686,-0.231,+0.108,+0.108,-0.253,-0.028
1.000,1.400,512,MBWR,6.886,6.587,7.008,7.017,6.774,6.862,-0.299,+0.122,+0.131,-0.112,-0.024
1.020,1.500,512,MBWR,6.922,6.628,7.045,7.055,6.814,6.904,-0.294,+0.123,+0.133,-0.108,-0.018
1.050,0.800,500,vdH,4.314,4.322,4.326,4.328,,4.314,+0.008,+0.012,+0.014,,-0.000
