rho_star,T_star,N,ref_source,S_ref,rigHS,Lin2003,Desj,R2PT,3PT,d_rigHS,d_Lin,d_Desj,d_R2PT,d_3PT
0.050,1.400,512,MBWR,13.671,13.641,13.756,13.741,13.590,13.625,-0.030,+0.085,+0.070,-0.081,-0.046
0.050,1.600,512,MBWR,13.885,13.885,13.991,13.975,13.828,13.861,+0.000,+0.106,+0.090,-0.057,-0.024
0.050,1.800,512,MBWR,14.071,14.093,14.192,14.175,14.039,14.071,+0.022,+0.121,+0.104,-0.032,+0.000
0.050,2.000,512,MBWR,14.235,14.280,14.377,14.358,14.241,14.252,+0.045,+0.142,+0.123,+0.006,+0.017
0.100,1.250,512,MBWR,12.636,12.444,12.640,12.620,12.423,12.432,-0.192,+0.004,-0.016,-0.213,-0.204
0.150,1.300,512,MBWR,12.154,11.963,12.216,12.191,12.021,11.956,-0.191,+0.062,+0.037,-0.133,-0.198
0.200,1.400,512,MBWR,11.873,11.631,11.909,11.883,11.691,11.627,-0.242,+0.036,+0.010,-0.182,-0.246
0.200,1.600,512,MBWR,12.125,11.940,12.190,12.165,11.914,11.932,-0.185,+0.065,+0.040,-0.211,-0.193
0.200,1.800,512,MBWR,12.334,12.196,12.442,12.415,12.186,12.186,-0.138,+0.108,+0.081,-0.148,-0.148
0.200,2.000,512,MBWR,12.515,12.457,12.715,12.685,12.541,12.439,-0.058,+0.200,+0.170,+0.026,-0.076
0.250,1.300,512,MBWR,11.363,11.083,11.412,11.385,11.207,11.093,-0.280,+0.049,+0.022,-0.156,-0.270
0.300,1.300,512,MBWR,11.051,10.719,11.055,11.034,10.800,10.746,-0.332,+0.004,-0.017,-0.251,-0.305
0.320,1.320,512,MBWR,10.969,10.651,11.006,10.983,10.787,10.685,-0.318,+0.037,+0.014,-0.182,-0.284
0.350,1.350,512,MBWR,10.851,10.536,10.897,10.875,10.662,10.581,-0.315,+0.046,+0.024,-0.189,-0.270
0.400,0.900,512,MBWR,9.512,8.449,8.914,8.907,8.662,8.662,-1.063,-0.598,-0.605,-0.850,-0.850
0.400,1.400,512,MBWR,10.661,10.357,10.730,10.710,10.478,10.416,-0.304,+0.069,+0.049,-0.183,-0.245
0.400,1.600,512,MBWR,10.920,10.671,11.051,11.029,10.852,10.722,-0.249,+0.131,+0.109,-0.068,-0.198
0.400,1.800,512,MBWR,11.138,10.910,11.278,11.256,11.063,10.956,-0.228,+0.140,+0.118,-0.075,-0.182
0.400,2.000,512,MBWR,11.327,11.132,11.498,11.475,11.303,11.172,-0.195,+0.171,+0.148,-0.024,-0.155
0.550,1.400,512,MBWR,9.873,9.567,9.997,9.987,9.767,9.704,-0.306,+0.124,+0.114,-0.106,-0.169
0.550,1.600,512,MBWR,10.129,9.850,10.280,10.268,10.069,9.973,-0.279,+0.151,+0.139,-0.060,-0.156
0.550,1.800,512,MBWR,10.351,10.100,10.536,10.524,10.360,10.213,-0.251,+0.185,+0.173,+0.009,-0.138
