,x,Fmin,y_at_min,z_at_min,ix,iy,iz
0,-6.95,48.782467566478644,1.95,4.05,0,19,40
1,-6.85,49.74109832168575,1.95,2.95,1,19,29
2,-6.75,49.73109246008618,1.95,2.95,2,19,29
3,-6.65,49.87984722522155,1.85,3.05,3,18,30
4,-6.55,47.53747842516879,0.05,4.35,4,0,43
5,-6.45,43.79296067196008,0.05,4.35,5,0,43
6,-6.35,41.83209786793028,0.05,4.45,6,0,44
7,-6.25,39.75901490005227,0.05,4.35,7,0,43
8,-6.15,38.251202971194616,0.05,4.35,8,0,43
9,-6.05,38.000148525705455,0.05,4.45,9,0,44
10,-5.95,35.43051331694025,0.05,4.45,10,0,44
11,-5.85,33.27078182316455,0.05,4.45,11,0,44
12,-5.75,31.543735067933856,0.05,4.55,12,0,45
13,-5.65,31.92160696926119,0.05,4.25,13,0,42
14,-5.55,29.60946256366103,0.05,4.45,14,0,44
15,-5.45,26.750146826004674,0.05,4.45,15,0,44
16,-5.35,27.045098507027582,0.05,4.25,16,0,42
17,-5.25,24.580013716782265,0.05,4.35,17,0,43
18,-5.15,23.41522485914465,0.05,4.35,18,0,43
19,-5.05,22.13368585795022,0.05,4.35,19,0,43
20,-4.95,21.86202941079325,0.05,4.35,20,0,43
21,-4.85,22.12094885140872,0.05,4.45,21,0,44
22,-4.75,19.50259177283867,0.05,4.25,22,0,42
23,-4.65,18.00154557222432,0.05,4.35,23,0,43
24,-4.55,19.019700433696833,0.05,4.35,24,0,43
25,-4.45,16.55791194865691,0.05,4.35,25,0,43
26,-4.35,17.021483059372514,0.05,4.25,26,0,42
27,-4.25,15.61708433568108,0.05,4.45,27,0,44
28,-4.15,13.692566397030562,0.05,4.45,28,0,44
29,-4.05,13.37414246312952,0.05,4.25,29,0,42
30,-3.95,12.180179869614696,0.05,4.25,30,0,42
31,-3.85,10.364620101480346,0.05,4.45,31,0,44
32,-3.75,11.059920512109292,0.05,4.55,32,0,45
33,-3.65,9.481148805065693,0.05,4.35,33,0,43
34,-3.55,9.27940690273177,0.05,4.55,34,0,45
35,-3.45,10.130400511654901,0.05,4.25,35,0,42
36,-3.35,6.659220152261794,0.05,4.45,36,0,44
37,-3.25,8.389557522829238,0.05,4.45,37,0,44
38,-3.15,7.368675261330795,0.05,4.45,38,0,44
39,-3.05,8.866585929023516,0.05,4.55,39,0,45
40,-2.95,7.0737633290811655,1.85,4.25,40,18,42
41,-2.85,4.233622399714393,0.05,4.45,41,0,44
42,-2.75,5.6128590995965055,1.85,4.35,42,18,43
43,-2.65,5.714916968780243,1.85,4.55,43,18,45
44,-2.55,5.539771955414663,1.85,4.45,44,18,44
45,-2.45,2.407553596067357,0.05,4.55,45,0,45
46,-2.35,2.828966558999893,1.85,4.35,46,18,43
47,-2.25,1.439418421258698,0.05,4.45,47,0,44
48,-2.15,3.4217777878504356,0.05,4.55,48,0,45
49,-2.05,2.873256637595195,0.05,4.55,49,0,45
50,-1.95,2.5859847305338532,0.05,4.35,50,0,43
51,-1.85,1.4143999009381814,0.05,4.55,51,0,45
52,-1.75,0.7318649276003663,0.05,4.55,52,0,45
53,-1.65,1.6188085961354346,0.05,4.45,53,0,44
54,-1.55,1.9572178584490492,0.05,4.55,54,0,45
55,-1.45,3.643964074879844,0.05,4.35,55,0,43
56,-1.35,-0.0,0.05,4.45,56,0,44
57,-1.25,0.4140392329396973,0.05,4.65,57,0,46
58,-1.15,4.480338894337175,0.05,4.65,58,0,46
59,-1.05,3.3594229660926103,0.05,4.55,59,0,45
60,-0.949999999999999,2.0971302903522444,0.05,4.45,60,0,44
61,-0.85,4.420580919920891,0.05,4.45,61,0,44
62,-0.75,4.2131832369951585,0.05,4.45,62,0,44
63,-0.649999999999999,5.031429618623256,0.05,4.45,63,0,44
64,-0.55,6.436541202006335,0.25,4.45,64,2,44
65,-0.449999999999999,6.383418459328035,0.25,4.35,65,2,43
66,-0.35,8.323838571244517,0.05,4.45,66,0,44
67,-0.25,7.72701553438786,1.05,4.45,67,10,44
68,-0.149999999999999,7.428239081899898,0.25,4.45,68,2,44
69,-0.0499999999999998,5.667155595298208,0.25,4.65,69,2,46
70,0.0500000000000007,7.766964744734406,0.25,4.45,70,2,44
71,0.15,7.399748261879971,1.05,4.35,71,10,43
72,0.25,6.974199617314042,0.25,4.55,72,2,45
73,0.350000000000001,8.980538198167785,1.05,4.45,73,10,44
74,0.45,8.069591754915148,0.95,4.55,74,9,45
75,0.550000000000001,7.664525006911303,0.95,4.35,75,9,43
76,0.65,8.416595122304136,1.05,4.45,76,10,44
77,0.75,7.011914658711381,1.05,4.35,77,10,43
78,0.850000000000001,6.278530156102965,1.05,4.35,78,10,43
79,0.95,5.458876782638887,1.05,4.35,79,10,43
80,1.05,8.410196137537474,1.05,4.55,80,10,45
81,1.15,7.079481553833325,1.05,4.25,81,10,42
82,1.25,9.370078787372641,1.05,4.45,82,10,44
83,1.35,9.969880942524995,1.05,4.35,83,10,43
84,1.45,10.529133000286732,1.05,4.35,84,10,43
85,1.55,12.520122405004338,1.05,4.35,85,10,43
86,1.65,13.219752885353277,1.05,4.35,86,10,43
87,1.75,16.457319263929197,1.05,4.05,87,10,40
88,1.85,17.559329542569134,1.05,4.25,88,10,42
89,1.95,18.495788910241206,1.05,4.25,89,10,42
90,2.05,19.67112567298615,1.05,4.45,90,10,44
91,2.15,22.185780548865704,1.05,4.05,91,10,40
92,2.25,21.942406772519753,1.05,4.95,92,10,49
93,2.35,22.985820337445976,1.05,4.25,93,10,42
94,2.45,22.113848752483406,1.05,5.25,94,10,52
95,2.55,22.458543741133685,1.05,3.45,95,10,34
96,2.65,22.376446895333167,1.85,3.25,96,18,32
97,2.75,22.489583654763617,1.05,3.45,97,10,34
98,2.85,22.274748380751785,1.05,3.25,98,10,32
99,2.95,22.329107527584934,1.05,3.45,99,10,34
100,3.05,22.93663058929238,1.05,3.45,100,10,34
101,3.15,23.295270943300025,1.05,5.35,101,10,53
102,3.25,24.013440796767718,1.05,5.35,102,10,53
103,3.35,25.86142822330924,1.05,3.35,103,10,33
104,3.45,26.464135585583556,1.05,4.65,104,10,46
105,3.55,25.99492792761596,1.05,4.95,105,10,49
106,3.65,27.611730902081337,1.05,4.65,106,10,46
107,3.75,26.06022199924178,1.05,5.05,107,10,50
108,3.85,26.976069696319506,1.05,4.85,108,10,48
109,3.95,28.273258865748442,1.05,4.65,109,10,46
110,4.05,27.237502974844816,1.05,4.45,110,10,44
111,4.15,28.85564962717245,1.05,4.65,111,10,46
112,4.25,29.850271484220436,1.05,4.75,112,10,47
113,4.35,30.072431587512153,1.05,4.15,113,10,41
114,4.45,30.418395545191405,1.05,4.55,114,10,45
