Energy,Jet Out,Linear,TA,SHG
1077.27867,7.44727,3.72363,2.97891,2.97891
1077.86792,8.85644,4.42822,3.54258,3.54258
1078.45772,10.48199,5.241,4.1928,4.1928
1079.04807,12.34622,6.17311,4.93849,4.93849
1079.63898,14.76189,7.38094,5.90476,5.90476
1080.23043,17.32516,8.66258,6.93006,6.93007
1080.82244,20.41256,10.20628,8.16502,8.16504
1081.415,23.93867,11.96934,9.57547,9.57551
1082.00811,27.8086,13.9043,11.12344,11.12351
1082.60178,32.014,16.007,12.8056,12.80576
1083.196,37.51546,18.75773,15.00618,15.0065
1083.79078,42.87619,21.4381,17.15048,17.15111
1084.38612,48.86173,24.43086,19.54469,19.54592
1084.98202,55.64576,27.82288,22.2583,22.26065
1085.57847,63.56333,31.78166,25.42533,25.42971
1086.17549,71.19702,35.59851,28.47881,28.4868
1086.77306,79.92014,39.96007,31.96806,31.98232
1087.3712,88.68917,44.34458,35.47567,35.50059
1087.96989,98.37295,49.18648,39.34918,39.39179
1088.56916,108.12489,54.06244,43.24995,43.32122
1089.16898,118.80684,59.40342,47.52273,47.63932
1089.76937,129.50641,64.75321,51.80257,51.98914
1090.37032,139.76605,69.88302,55.90642,56.19847
1090.97184,149.82481,74.9124,59.92992,60.37705
1091.57392,160.25465,80.12733,64.10186,64.77135
1092.17658,169.38897,84.69448,67.75559,68.7359
1092.7798,176.75349,88.37675,70.7014,72.10509
1093.38359,181.60275,90.80138,72.6411,74.60642
1093.98795,185.24841,92.6242,74.09936,76.7898
1094.59288,187.82966,93.91483,75.13187,78.73278
1095.19838,188.62196,94.31098,75.44878,80.16046
1095.80446,190.526,95.263,76.2104,82.23716
1096.41111,193.79218,96.89609,77.51687,85.0523
1097.01833,200.19096,100.09548,80.07638,89.28555
1097.62612,209.25345,104.62672,83.70138,94.70138
1098.2345,218.46786,109.23393,87.38714,100.22808
1098.84345,230.31824,115.15912,92.1273,106.77615
1099.45297,242.24169,121.12085,96.89668,113.22665
1100.06307,254.04678,127.02339,101.61871,119.40615
1100.67376,265.701,132.8505,106.2804,125.21074
1101.28502,277.71368,138.85684,111.08547,130.76851
1101.89686,289.47541,144.73771,115.79016,135.78352
1102.50929,298.55222,149.27611,119.42089,139.25943
1103.12229,306.22487,153.11243,122.48995,141.71802
1103.73588,311.15476,155.57738,124.4619,142.66455
1104.35006,311.0957,155.54785,124.43828,141.26799
1104.96481,303.64253,151.82127,121.45701,136.65315
1105.58016,289.72361,144.86181,115.88944,129.28851
1106.19609,270.50397,135.25198,108.20159,119.73801
1106.8126,245.49473,122.74737,98.19789,107.89615
1107.42971,215.83665,107.91833,86.33466,94.29466
1108.0474,184.21353,92.10677,73.68541,80.06362
1108.66568,152.56946,76.28473,61.02778,66.01687
1109.28456,122.51822,61.25911,49.00729,52.81664
1109.90402,95.11376,47.55688,38.04551,40.88445
1110.52408,71.20975,35.60488,28.4839,30.54886
1111.14473,51.28164,25.64082,20.51265,21.97848
1111.76598,36.37718,18.18859,14.55087,15.56628
1112.38781,25.44589,12.72295,10.17836,10.86472
1113.01025,18.56956,9.28478,7.42782,7.8805
1113.63328,14.18095,7.09047,5.67238,5.96367
1114.25691,11.16947,5.58473,4.46779,4.65065
1114.88114,9.29285,4.64642,3.71714,3.82912
1115.50596,7.968,3.984,3.1872,3.2541
1116.13139,6.9559,3.47795,2.78236,2.82134
