Energy,118,118 err,170,170 err,239,239 err,299,299 err,368,368 err,440,440 err,XFEL Harm.,Sq. Fund
1077.86792,0.21832,0.3981,0.19108,0.11485,-0.05215,0.12734,-0.09568,0.32732,0.84474,1.18547,2.03456,1.78293,1.12303,0.0249
1078.45772,0.13628,0.36332,-0.00414,0.1218,0.03575,0.222,0.34558,0.56753,0.9123,0.76071,-0.78258,1.75317,1.32915,0.0249
1079.04807,0.21076,0.62331,0.01503,0.07119,-0.03587,0.03577,0.02778,0.34643,1.12882,0.94007,1.84752,0.89912,1.56594,0.0249
1079.63898,0.77686,0.47229,0.12959,0.49435,0.25588,0.30943,-0.031,0.05669,1.2688,0.79198,2.76444,6.66567,1.87665,0.0249
1080.23043,1.0115,0.20011,0.23388,0.32772,-0.10717,0.25391,0.48398,0.46009,2.21384,0.03732,0.41114,1.1448,2.20429,0.0249
1080.82244,0.72886,0.20705,0.03811,0.24213,-0.01463,0.37411,0.32569,1.00999,1.6456,1.22189,-0.11434,1.75375,2.60036,0.0249
1081.415,0.92646,0.77136,0.13262,0.22746,0.14032,0.40674,-0.22481,0.59241,2.13087,0.31643,-3.67661,0.80689,3.05545,0.03566
1082.00811,0.66896,0.41359,0.24212,0.32693,-0.0902,0.29316,-0.2427,0.15934,1.07051,0.58877,-2.38293,2.08819,3.55153,0.05107
1082.60178,0.70876,0.54811,0.07797,0.09482,-0.19271,0.5827,0.28767,0.36976,0.74834,0.70612,-2.42388,1.42627,4.09546,0.07489
1083.196,1.77234,0.82462,0.46275,0.33101,0.59993,0.52935,0.12373,0.88917,1.80135,0.63327,-2.59911,3.94754,4.80488,0.10898
1083.79078,2.43247,1.42758,0.6578,0.35151,0.48166,0.7046,-0.35714,1.34716,1.53396,0.63859,-0.08261,4.52877,5.49516,0.16202
1084.38612,3.38431,0.91194,0.79615,0.48602,0.26415,0.13071,-0.17774,0.29057,1.55032,0.60432,1.74953,4.89301,6.26608,0.23806
1084.98202,3.08608,0.85093,0.43309,0.41506,-0.20381,0.167,0.03425,0.38588,2.46058,1.34491,1.54197,5.34204,7.14285,0.348
1085.57847,2.61208,0.89056,1.34478,0.05877,0.32241,0.98492,0.21628,0.74045,1.45618,0.04914,1.1679,4.62846,8.16206,0.49221
1086.17549,3.5974,0.68607,1.93013,1.18963,0.52749,0.33957,-0.54753,0.89099,1.12385,0.82144,-0.30134,2.39137,9.14468,0.67919
1086.77306,4.99546,1.05874,1.80154,0.22403,0.71175,0.62056,0.61249,1.41927,0.74181,1.91756,2.58987,5.57242,10.26919,0.90611
1087.3712,5.98687,1.01467,1.89495,0.17592,0.86726,0.42828,0.56408,0.49492,-1.22258,0.55685,1.9662,8.09783,11.39825,1.19022
1087.96989,6.13188,1.43513,2.34992,0.14387,1.1406,0.30139,0.21917,0.88691,-0.16792,1.02006,-4.0898,6.31544,12.64357,1.54487
1088.56916,3.45506,0.9858,2.69896,0.96029,1.2134,0.30303,1.29918,2.1949,-0.4284,1.90145,-5.49736,10.24469,13.89808,2.00077
1089.16898,2.71526,2.3545,2.48254,1.28361,1.73273,0.29595,0.21465,0.60245,-2.32075,2.14691,-6.69464,11.35047,15.27343,2.62814
1089.76937,3.75264,1.65742,2.90211,0.97032,1.85443,0.59021,-0.58299,0.24282,-2.90615,2.08789,-4.93521,8.51777,16.64978,3.48182
1090.37032,1.71361,1.30842,2.95939,1.06601,2.10656,1.8547,-1.058,1.35954,-3.47358,1.56703,-5.34857,3.85883,17.96904,4.59321
1090.97184,2.14737,0.79719,4.19448,1.02864,3.1661,2.37994,-1.53023,0.90089,-4.82564,1.8642,-10.96029,0.28625,19.26442,5.96514
1091.57392,1.36589,1.36678,5.35428,0.86709,4.20869,1.79565,-0.92951,1.72468,-7.16822,2.61656,-6.55258,3.69002,20.6066,7.60816
1092.17658,-1.23058,2.49428,6.05273,0.40362,3.57235,1.49001,-1.6628,1.77365,-6.99981,2.22511,-10.57996,4.69477,21.78211,9.4758
1092.7798,-0.54404,2.30077,6.15415,2.5631,4.24084,1.60657,-2.50218,1.59132,-7.35642,1.6699,-7.12036,1.77204,22.72949,11.52188
1093.38359,0.22421,1.35783,7.98013,1.42462,2.25289,0.90628,-2.26345,1.18907,-7.34825,1.33214,-9.18615,3.22824,23.35499,13.66477
1093.98795,1.87131,3.29763,6.72991,0.90918,3.24714,0.98984,-1.42731,0.58011,-8.59714,0.53924,-12.1592,2.62013,23.82258,15.81044
1094.59288,-1.92061,0.7919,7.09675,1.24648,4.44616,3.40557,-1.98382,0.91206,-7.81095,1.22023,-17.9574,6.05893,24.1547,17.92558
1095.19838,-1.55364,2.01496,7.76614,2.79013,4.40277,1.85112,-3.66595,1.12205,-8.02892,1.25336,-14.12705,4.42358,24.25735,19.91184
1095.80446,2.07121,1.57227,8.20951,2.90077,3.60951,1.21746,-3.45534,1.53079,-8.37591,1.94728,-15.80115,7.57348,24.50213,21.95135
1096.41111,2.87025,3.84175,7.08435,2.33308,3.26366,2.41817,-2.4905,2.04587,-7.17729,2.74355,-16.31053,2.97692,24.92178,24.06713
1097.01833,1.98158,3.14623,4.82309,2.17298,3.44434,2.74504,-2.55269,3.38354,-5.5986,4.01502,-14.30264,0.65697,25.74332,26.22149
