Energy,Bin 1,Bin 2,Bin 3,Bin 4
1077.27867,-0.11171,-0.22342,-0.33513,-0.44684
1077.86792,-0.13285,-0.26569,-0.39854,-0.53139
1078.45772,-0.15723,-0.31446,-0.47169,-0.62892
1079.04807,-0.18519,-0.37039,-0.55558,-0.74077
1079.63898,-0.22143,-0.44286,-0.66428,-0.88571
1080.23043,-0.25988,-0.51975,-0.77963,-1.0395
1080.82244,-0.30619,-0.61237,-0.91856,-1.22474
1081.415,-0.35908,-0.71815,-1.07722,-1.43629
1082.00811,-0.41713,-0.83424,-1.25135,-1.66846
1082.60178,-0.4802,-0.96039,-1.44056,-1.92072
1083.196,-0.56272,-1.1254,-1.68805,-2.25067
1083.79078,-0.64311,-1.28616,-1.92914,-2.57207
1084.38612,-0.73286,-1.46561,-2.19822,-2.93072
1084.98202,-0.83457,-1.6689,-2.503,-3.33687
1085.57847,-0.95323,-1.90602,-2.85838,-3.8103
1086.17549,-1.06756,-2.13431,-3.20027,-4.26543
1086.77306,-1.19809,-2.39475,-3.58999,-4.7838
1087.3712,-1.32909,-2.65569,-3.9798,-5.30141
1087.96989,-1.47346,-2.94267,-4.40761,-5.86829
1088.56916,-1.61831,-3.22949,-4.83355,-6.43048
1089.16898,-1.77627,-3.54089,-5.29384,-7.03514
1089.76937,-1.93327,-3.84788,-5.74383,-7.62112
1090.37032,-2.08189,-4.13457,-6.15805,-8.15232
1090.97184,-2.22502,-4.40532,-6.54091,-8.63178
1091.57392,-2.37035,-4.67374,-6.91019,-9.07969
1092.17658,-2.49182,-4.88561,-7.18136,-9.37909
1092.7798,-2.58112,-5.02187,-7.32225,-9.48226
1093.38359,-2.62578,-5.05502,-7.28773,-9.32391
1093.98795,-2.6442,-5.01937,-7.12548,-8.96256
1094.59288,-2.6374,-4.91471,-6.83192,-8.38905
1095.19838,-2.59375,-4.71632,-6.36773,-7.54797
1095.80446,-2.55655,-4.51043,-5.86163,-6.61015
1096.41111,-2.53011,-4.30668,-5.32971,-5.59919
1097.01833,-2.54241,-4.1639,-4.86447,-4.64413
1097.62612,-2.5888,-4.0776,-4.46641,-3.75521
1098.2345,-2.63497,-3.98585,-4.05263,-2.83532
1098.84345,-2.72233,-3.97978,-3.77234,-2.10001
1099.45297,-2.81713,-4.00126,-3.55239,-1.47052
1100.06307,-2.92133,-4.06392,-3.42776,-1.01286
1100.67376,-3.039,-4.18496,-3.43789,-0.79779
1101.28502,-3.18155,-4.3948,-3.63975,-0.91639
1101.89686,-3.34246,-4.68559,-4.02938,-1.37384
1102.50929,-3.48636,-4.98886,-4.5075,-2.0423
1103.12229,-3.63197,-5.34113,-5.12748,-2.99103
1103.73588,-3.75719,-5.69411,-5.81077,-4.10717
1104.35006,-3.82495,-5.96693,-6.42594,-5.20197
1104.96481,-3.79483,-6.07005,-6.82565,-6.06164
1105.58016,-3.6759,-6.0119,-7.00798,-6.66417
1106.19609,-3.48074,-5.80783,-6.98129,-7.0011
1106.8126,-3.19751,-5.42519,-6.68305,-6.97108
1107.42971,-2.83955,-4.8831,-6.13065,-6.5822
1108.0474,-2.44429,-4.25077,-5.41942,-5.95025
1108.66568,-2.03909,-3.57927,-4.62054,-5.1629
1109.28456,-1.64731,-2.91368,-3.79911,-4.30362
1109.90402,-1.28476,-2.28562,-3.00259,-3.43567
1110.52408,-0.9649,-1.7233,-2.27521,-2.62062
1111.14473,-0.69593,-1.24528,-1.64805,-1.90424
1111.76598,-0.49489,-0.88823,-1.18004,-1.37031
1112.38781,-0.34737,-0.6261,-0.8362,-0.97766
1113.01025,-0.25591,-0.46655,-0.63192,-0.75203
1113.63328,-0.19815,-0.36717,-0.50706,-0.61782
1114.25691,-0.1584,-0.29851,-0.42034,-0.52388
1114.88114,-0.13379,-0.25639,-0.36778,-0.46798
1115.50596,-0.11618,-0.22566,-0.32846,-0.42456
1116.13139,-0.10239,-0.20088,-0.29548,-0.38617
