Energy,XFEL Harm,Sq. Fund,118.00,118 Err,170.00,170 Err,239.00,239 err,299.00,299 err,368.00,368 err,440.00,440 err
1078.45772,2.86578,0.03818,1.38341,1.30313,0.80808,0.48747,0.89276,0.41776,0.64733,1.42843,2.72555,1.90978,-0.57424,4.94912
1079.04807,3.65079,0.03818,1.95484,1.30615,0.57694,0.278,0.33466,0.10276,-0.04583,0.13889,2.74814,2.26505,6.54892,1.69726
1079.63898,4.59836,0.03818,3.00605,0.64039,0.07018,1.18996,-0.0571,0.5849,-0.53234,0.5865,3.07354,1.74088,7.66644,10.75352
1080.23043,5.56919,0.03818,2.97955,1.29137,-0.13653,1.25224,-1.23988,0.49294,-0.40862,0.85892,4.29322,0.43983,2.38357,3.51101
1080.82244,6.63157,0.03818,2.71799,0.87216,-0.53997,0.94251,-1.73945,1.0804,-1.14251,1.64028,2.88771,2.26771,0.72771,4.04351
1081.415,7.76833,0.05464,3.24755,1.94506,-0.56336,0.50628,-2.1187,0.71416,-2.48041,1.42064,3.5765,0.19166,-4.85918,1.66396
1082.00811,8.99526,0.07824,2.17,1.32398,-0.54676,0.62161,-2.46263,0.84493,-2.32485,0.03841,3.8814,1.69098,-0.44955,2.84571
1082.60178,10.28804,0.1147,2.80247,1.02545,-0.19539,0.54184,-3.07971,1.22158,-1.55175,0.78478,2.20613,1.64947,-0.7798,3.06349
1083.196,11.84823,0.16691,4.05048,1.04593,-0.35518,1.01391,-2.39232,1.10156,-2.56898,1.63117,3.2806,1.58923,-4.26276,5.65316
1083.79078,13.34564,0.24813,5.84106,2.89643,-0.65171,0.89674,-3.1793,1.29774,-3.6372,2.62123,2.01334,0.71689,-1.66385,7.97092
1084.38612,15.00205,0.36458,7.89765,1.85697,-0.43497,1.01101,-3.55123,0.1428,-3.29997,0.23066,2.61103,0.88638,3.504,9.00054
1084.98202,16.79818,0.53305,5.77969,1.51742,-1.62416,0.75117,-4.62283,0.51514,-3.02096,0.5655,4.08165,2.12889,3.06307,10.71082
1085.57847,18.79281,0.75417,5.34299,2.19363,0.37351,0.41179,-2.8988,1.57575,-1.58651,1.72612,3.91397,0.38618,3.95587,6.89345
1086.17549,20.73027,1.0409,7.61568,1.367,2.2662,2.50517,-1.28643,0.53016,-1.31217,1.41351,5.09981,1.28803,1.46175,4.96795
1086.77306,22.88216,1.38898,9.43976,1.92482,1.15336,0.14125,-1.23712,0.90473,0.79261,2.62552,3.35492,3.32415,9.14968,10.61474
1087.3712,25.0276,1.8249,10.09765,1.50988,0.57261,0.04116,-1.33701,0.85928,0.80666,1.30117,-0.4939,0.81255,6.28308,16.11793
1087.96989,27.38952,2.36913,9.18896,2.61946,0.94981,0.60396,-1.18089,0.40376,-0.90545,1.92294,0.61653,2.22729,-6.24561,12.19683
1088.56916,29.73737,3.06871,2.83367,2.13077,0.76077,1.57403,-1.47915,0.23471,0.81234,4.41203,-0.06345,3.63746,-7.14031,18.4066
1089.16898,32.32181,4.03108,0.56344,4.63007,-0.20846,2.58148,-0.71992,0.54396,-0.82553,1.17479,-3.18855,4.08372,-7.75958,22.72314
1089.76937,34.91062,5.34053,1.62382,3.80123,-0.23548,1.87298,-0.20694,1.01367,-0.99726,0.60768,-3.17063,3.59953,-3.85245,16.56793
1090.37032,37.38783,7.04579,-1.42964,1.86787,1.55118,1.89251,3.7196,3.51821,2.75598,2.49602,1.39736,2.307,1.60621,6.4694
1090.97184,39.84495,9.1511,-0.70131,1.17933,6.13702,2.05769,9.73081,4.44107,7.10584,1.96715,4.45356,3.51919,-2.55038,2.02885
1091.57392,42.37483,11.67675,-3.28225,2.40464,6.11912,1.67356,9.89123,3.43739,6.29644,3.21284,-1.14231,4.74515,5.03234,8.12117
1092.17658,44.60792,14.55037,-10.04706,4.64837,3.79869,1.00438,4.47089,2.88629,1.13683,3.27122,-3.93607,4.14804,-3.78269,9.23769
1092.7798,46.45135,17.70923,-9.76275,4.15865,2.47512,4.80603,4.93105,2.99029,-0.73128,3.31738,-4.50492,3.25064,5.19873,3.11691
1093.38359,47.63361,21.05081,-8.97046,2.16883,6.1231,2.73575,2.96136,1.70024,2.20427,2.37739,-0.7936,2.84806,5.02174,8.9195
1093.98795,48.54952,24.45584,-7.14593,5.59291,3.5292,1.85924,5.232,1.83276,4.77341,0.8733,-1.47855,0.93975,1.67261,2.70643
1094.59288,49.20333,27.93423,-12.00247,1.50372,7.59671,2.11804,12.84193,6.56415,10.0652,1.79742,6.75834,2.15301,-1.08472,11.29351
