Int. Fund.,SHG Sig.,SHG Sig. Err.,Quad. Fit
3396.39336,14.32488,28.6063,0.01881
11121.80551,-0.54681,10.99771,0.20165
24933.45403,-32.29129,14.73036,1.01346
45601.20477,-19.43896,22.49886,3.38995
71595.13807,-0.23103,12.25026,8.35619
92401.91276,-19.74499,37.82502,13.91884
117771.5823,-97.61199,75.91095,22.61113
139601.2207,14.59503,117.29329,31.77018
170437.5942,61.43479,137.83917,47.35567
204875.6637,76.73679,169.39925,68.42612
239170.5882,102.82876,138.91093,93.25169
269173.5716,119.56864,157.51132,118.11526
299269.1871,152.757,132.33749,146.00415
332144.5675,158.11563,93.33074,179.84381
368053.4257,215.70744,107.8753,220.83246
407983.8458,310.57283,24.46329,271.34831
440095.8434,198.05574,223.90443,315.74445
467393.4378,446.50241,258.91927,356.12824
