Energy,XAS
520.87144,0.21943
521.05619,0.2179
521.24103,0.21543
521.42596,0.21272
521.611,0.21088
521.79613,0.2095
521.98135,0.20818
522.16668,0.20638
522.3521,0.20547
522.53762,0.20579
522.72323,0.20719
522.90894,0.20967
523.09475,0.21224
523.28066,0.21484
523.46666,0.21746
523.65276,0.21984
523.83896,0.22281
524.02525,0.22516
524.21165,0.22606
524.39814,0.22575
524.58473,0.22457
524.77141,0.22271
524.9582,0.22094
525.14508,0.22029
525.33206,0.22215
525.51914,0.22773
525.70632,0.23665
525.89359,0.25107
526.08097,0.26681
526.26844,0.2789
526.45601,0.2816
526.64368,0.27129
526.83145,0.25138
527.01932,0.22904
527.20728,0.20922
527.39535,0.19314
527.58351,0.18086
527.77177,0.17132
527.96014,0.16422
528.1486,0.15911
528.33716,0.15422
528.52582,0.14971
528.71458,0.14531
528.90344,0.14103
529.0924,0.13696
529.28146,0.13333
529.47062,0.1297
529.65988,0.12619
529.84923,0.12313
530.03869,0.12035
530.22825,0.11808
530.41791,0.11587
530.60767,0.11386
530.79753,0.11211
530.98749,0.11081
531.17755,0.11021
531.36771,0.10888
531.55797,0.10974
531.74834,0.11298
531.9388,0.11804
532.12936,0.12473
532.32003,0.13414
532.5108,0.14542
532.70166,0.15826
532.89263,0.17397
533.0837,0.19444
533.27488,0.22279
533.46615,0.26477
533.65752,0.32658
533.849,0.41455
534.04058,0.53531
534.23226,0.68433
534.42404,0.83845
534.61593,0.96303
534.80791,1.03552
535,1.06694
535.19219,1.09296
535.38448,1.15254
535.57688,1.27365
535.76938,1.46006
535.96198,1.68347
536.15468,1.89594
536.34748,2.06488
536.54039,2.18563
536.7334,2.27022
536.92652,2.33343
537.11974,2.38966
537.31306,2.44207
537.50648,2.49079
537.70001,2.52969
537.89364,2.568
538.08737,2.59236
538.28121,2.61226
538.47515,2.63104
538.66919,2.64693
538.86334,2.6564
539.05759,2.70508
539.25195,2.69688
539.44641,2.69113
539.64098,2.6804
539.83564,2.67873
540.03042,2.66489
540.2253,2.6568
540.42028,2.64209
540.61536,2.62615
540.81055,2.60611
541.00585,2.58404
541.20125,2.5547
541.39676,2.52234
541.59237,2.489
541.78808,2.45237
541.9839,2.41075
542.17983,2.36428
542.37586,2.31417
542.572,2.25945
542.76824,2.20004
542.96459,2.13326
543.16104,2.06904
543.3576,2.00541
543.55426,1.94152
543.75103,1.879
543.94791,1.81803
544.14489,1.75946
544.34198,1.70374
544.53918,1.65149
544.73648,1.60221
544.93389,1.55681
545.1314,1.51791
545.32902,1.47969
545.52675,1.44505
545.72458,1.41345
545.92252,1.38513
546.12057,1.35983
546.31873,1.33719
546.51699,1.31724
546.71536,1.30035
546.91384,1.286
547.11242,1.2724
547.31111,1.2601
547.50991,1.24966
547.70882,1.24007
547.90783,1.23089
548.10696,1.22345
548.30619,1.21652
548.50552,1.21067
548.70497,1.20672
548.90452,1.20342
549.10419,1.20057
549.30396,1.19825
549.50384,1.19708
549.70383,1.19691
549.90392,1.19631
550.10413,1.19631
550.30444,1.19715
550.50486,1.19817
550.7054,1.19864
550.90604,1.19947
551.10679,1.20027
551.30765,1.20198
551.50862,1.2023
551.70969,1.20155
551.91088,1.20128
552.11218,1.20214
552.31358,1.20377
552.5151,1.20526
552.71673,1.20734
552.91846,1.21049
553.12031,1.21192
553.32227,1.21295
553.52433,1.21344
553.72651,1.21243
553.9288,1.21062
554.1312,1.20907
554.3337,1.20657
554.53632,1.20469
554.73905,1.20399
554.94189,1.20467
555.14484,1.2073
555.34791,1.21111
555.55108,1.21615
555.75437,1.22223
555.95776,1.22911
556.16127,1.23195
556.36489,1.24151
556.56862,1.25192
556.77246,1.2622
556.97642,1.27336
557.18048,1.28478
557.38466,1.29687
557.58895,1.30869
557.79335,1.32192
557.99787,1.33662
558.20249,1.3506
558.40723,1.36495
558.61208,1.3795
558.81705,1.39314
559.02212,1.40626
559.22731,1.41872
559.43262,1.42845
559.63803,1.43666
559.84356,1.44433
560.0492,1.4492
560.25496,1.4502
560.46082,1.44899
560.6668,1.44871
560.8729,1.44661
561.07911,1.44617
561.28543,1.44776
561.49187,1.45149
