t (fs),beta 0,beta 0.1,beta 0.3
-11.0412,1.11E-08,1.20E-05,7.85E-04
-11.0196,5.30E-07,2.89E-05,8.74E-04
-10.998,1.95E-06,4.78E-05,8.46E-04
-10.9765,3.88E-06,6.36E-05,7.07E-04
-10.9549,5.79E-06,7.20E-05,4.96E-04
-10.9334,7.18E-06,7.07E-05,2.69E-04
-10.9118,7.66E-06,6.00E-05,8.79E-05
-10.8902,7.10E-06,4.30E-05,3.00E-06
-10.8687,5.66E-06,2.41E-05,3.72E-05
-10.8471,3.72E-06,8.58E-06,1.81E-04
-10.8255,1.82E-06,5.85E-07,3.97E-04
-10.804,4.57E-07,2.31E-06,6.26E-04
-10.7824,7.27E-09,1.33E-05,8.06E-04
-10.7608,5.83E-07,3.05E-05,8.88E-04
-10.7393,2.02E-06,4.92E-05,8.51E-04
-10.7177,3.92E-06,6.45E-05,7.04E-04
-10.6961,5.76E-06,7.20E-05,4.88E-04
-10.6746,7.03E-06,6.97E-05,2.61E-04
-10.653,7.38E-06,5.83E-05,8.47E-05
-10.6314,6.72E-06,4.09E-05,8.19E-06
-10.6099,5.22E-06,2.22E-05,5.24E-05
-10.5883,3.30E-06,7.30E-06,2.06E-04
-10.5667,1.49E-06,2.57E-07,4.27E-04
-10.5452,2.92E-07,3.00E-06,6.57E-04
-10.5236,3.92E-08,1.48E-05,8.32E-04
-10.5021,8.15E-07,3.24E-05,9.07E-04
-10.4805,2.42E-06,5.10E-05,8.59E-04
-10.4589,4.42E-06,6.56E-05,7.04E-04
-10.4374,6.29E-06,7.21E-05,4.82E-04
-10.4158,7.51E-06,6.87E-05,2.55E-04
-10.3942,7.76E-06,5.65E-05,8.60E-05
-10.3727,6.96E-06,3.86E-05,2.15E-05
-10.3511,5.34E-06,2.00E-05,8.05E-05
-10.3295,3.33E-06,5.87E-06,2.49E-04
-10.308,1.47E-06,4.10E-08,4.81E-04
-10.2864,2.69E-07,4.21E-06,7.17E-04
-10.2648,5.17E-08,1.73E-05,8.91E-04
-10.2433,8.76E-07,3.59E-05,9.58E-04
-10.2217,2.52E-06,5.50E-05,9.00E-04
-10.2001,4.53E-06,6.94E-05,7.32E-04
-10.1786,6.37E-06,7.52E-05,5.01E-04
-10.157,7.52E-06,7.10E-05,2.71E-04
-10.1355,7.69E-06,5.77E-05,1.06E-04
-10.1139,6.82E-06,3.90E-05,5.25E-05
-10.0923,5.15E-06,2.00E-05,1.27E-04
-10.0708,3.13E-06,5.72E-06,3.13E-04
-10.0492,1.32E-06,5.56E-08,5.61E-04
-10.0276,2.04E-07,4.48E-06,8.06E-04
-10.0061,9.18E-08,1.78E-05,9.82E-04
-9.9845,1.02E-06,3.62E-05,0.00104
-9.96293,2.72E-06,5.48E-05,9.72E-04
-9.94137,4.75E-06,6.84E-05,7.90E-04
-9.91981,6.55E-06,7.34E-05,5.45E-04
-9.89824,7.63E-06,6.83E-05,3.06E-04
-9.87668,7.69E-06,5.45E-05,1.40E-04
-9.85511,6.71E-06,3.59E-05,9.47E-05
-9.83355,4.97E-06,1.75E-05,1.85E-04
-9.81198,2.94E-06,4.35E-06,3.89E-04
-9.79042,1.16E-06,1.84E-07,6.55E-04
-9.76885,1.38E-07,6.15E-06,9.14E-04
-9.74729,1.43E-07,2.07E-05,0.0011
-9.72572,1.18E-06,3.99E-05,0.00115
-9.70416,2.97E-06,5.85E-05,0.00107
-9.68259,5.03E-06,7.15E-05,8.78E-04
-9.66103,6.79E-06,7.54E-05,6.21E-04
-9.63946,7.78E-06,6.90E-05,3.74E-04
-9.6179,7.73E-06,5.42E-05,2.09E-04
-9.59633,6.64E-06,3.48E-05,1.74E-04
-9.57477,4.81E-06,1.63E-05,2.82E-04
-9.5532,2.75E-06,3.72E-06,5.09E-04
-9.53164,1.02E-06,5.15E-07,7.98E-04
-9.51007,8.64E-08,7.64E-06,0.00107
-9.48851,2.24E-07,2.32E-05,0.00126
-9.46694,1.40E-06,4.31E-05,0.00132
-9.44538,3.30E-06,6.19E-05,0.00122
-9.42381,5.42E-06,7.44E-05,0.00101
-9.40225,7.18E-06,7.74E-05,7.33E-04
-9.38069,8.10E-06,6.99E-05,4.74E-04
-9.35912,7.94E-06,5.40E-05,3.08E-04
-9.33756,6.74E-06,3.40E-05,2.84E-04
-9.31599,4.82E-06,1.54E-05,4.16E-04
-9.29443,2.70E-06,3.12E-06,6.76E-04
-9.27286,9.54E-07,6.59E-07,9.98E-04
-9.2513,6.23E-08,8.68E-06,0.0013
-9.22973,2.66E-07,2.50E-05,0.00151
-9.20817,1.51E-06,4.53E-05,0.00156
-9.1866,3.46E-06,6.39E-05,0.00146
-9.16504,5.58E-06,7.59E-05,0.00122
-9.14347,7.29E-06,7.79E-05,9.21E-04
-9.12191,8.14E-06,6.94E-05,6.43E-04
-9.10034,7.88E-06,5.27E-05,4.69E-04
-9.07878,6.58E-06,3.24E-05,4.55E-04
-9.05721,4.61E-06,1.40E-05,6.15E-04
-9.03565,2.49E-06,2.65E-06,9.13E-04
-9.01408,8.10E-07,1.50E-06,0.00128
-8.99252,3.28E-08,1.10E-05,0.00162
-8.97095,3.75E-07,2.85E-05,0.00186
-8.94939,1.75E-06,4.95E-05,0.00193
-8.92782,3.78E-06,6.82E-05,0.00182
-8.90626,5.93E-06,7.96E-05,0.00156
-8.88469,7.61E-06,8.05E-05,0.00123
-8.86313,8.35E-06,7.08E-05,9.32E-04
-8.84157,7.95E-06,5.29E-05,7.48E-04
-8.82,6.53E-06,3.18E-05,7.44E-04
-8.79844,4.46E-06,1.33E-05,9.33E-04
-8.77687,2.31E-06,2.43E-06,0.00128
-8.75531,6.77E-07,2.19E-06,0.0017
-8.73374,8.04E-09,1.27E-05,0.0021
-8.71218,4.98E-07,3.13E-05,0.00237
-8.69061,2.02E-06,5.27E-05,0.00246
-8.66905,4.18E-06,7.14E-05,0.00234
-8.64748,6.40E-06,8.20E-05,0.00206
-8.62592,8.06E-06,8.18E-05,0.0017
-8.60435,8.74E-06,7.08E-05,0.00138
-8.58279,8.23E-06,5.19E-05,0.00118
-8.56122,6.67E-06,3.04E-05,0.00119
-8.53966,4.50E-06,1.21E-05,0.00142
-8.51809,2.28E-06,2.06E-06,0.00184
-8.49653,6.39E-07,3.21E-06,0.00235
-8.47496,8.64E-09,1.53E-05,0.00283
-8.4534,5.67E-07,3.52E-05,0.00317
-8.43183,2.16E-06,5.75E-05,0.0033
-8.41027,4.36E-06,7.63E-05,0.0032
-8.3887,6.57E-06,8.64E-05,0.0029
-8.36714,8.18E-06,8.50E-05,0.0025
-8.34558,8.75E-06,7.26E-05,0.00213
-8.32401,8.13E-06,5.25E-05,0.0019
-8.30245,6.48E-06,3.01E-05,0.00192
-8.28088,4.25E-06,1.17E-05,0.00219
-8.25932,2.06E-06,2.25E-06,0.00269
-8.23775,5.01E-07,4.46E-06,0.00331
-8.21619,1.40E-08,1.78E-05,0.00391
-8.19462,7.40E-07,3.88E-05,0.00436
-8.17306,2.49E-06,6.17E-05,0.00458
-8.15149,4.79E-06,8.04E-05,0.00452
-8.12993,7.03E-06,8.97E-05,0.00422
-8.10836,8.59E-06,8.71E-05,0.0038
-8.0868,9.04E-06,7.33E-05,0.00339
-8.06523,8.26E-06,5.20E-05,0.00315
-8.04367,6.46E-06,2.91E-05,0.00318
-8.0221,4.13E-06,1.08E-05,0.00351
-8.00054,1.90E-06,2.32E-06,0.00412
-7.97897,3.98E-07,6.03E-06,0.00489
-7.95741,2.99E-08,2.11E-05,0.00567
-7.93584,9.12E-07,4.35E-05,0.0063
-7.91428,2.82E-06,6.73E-05,0.00666
-7.89271,5.23E-06,8.60E-05,0.00669
-7.87115,7.50E-06,9.45E-05,0.00643
-7.84958,9.01E-06,9.06E-05,0.006
-7.82802,9.35E-06,7.52E-05,0.00556
-7.80646,8.41E-06,5.25E-05,0.00529
-7.78489,6.46E-06,2.88E-05,0.00532
-7.76333,4.03E-06,1.06E-05,0.00573
-7.74176,1.77E-06,2.94E-06,0.00648
-7.7202,3.17E-07,8.14E-06,0.00746
-7.69863,7.64E-08,2.49E-05,0.00849
-7.67707,1.13E-06,4.88E-05,0.00937
-7.6555,3.20E-06,7.35E-05,0.00994
-7.63394,5.73E-06,9.22E-05,0.01014
-7.61237,8.05E-06,9.99E-05,0.00996
-7.59081,9.52E-06,9.44E-05,0.00953
-7.56924,9.75E-06,7.72E-05,0.00904
-7.54768,8.65E-06,5.30E-05,0.0087
-7.52611,6.54E-06,2.83E-05,0.0087
-7.50455,3.98E-06,1.00E-05,0.00914
-7.48298,1.67E-06,3.23E-06,0.01003
-7.46142,2.53E-07,9.94E-06,0.01125
-7.43985,1.14E-07,2.85E-05,0.01261
-7.41829,1.31E-06,5.40E-05,0.01387
-7.39672,3.51E-06,7.97E-05,0.01482
-7.37516,6.14E-06,9.85E-05,0.01534
-7.35359,8.48E-06,1.05E-04,0.0154
-7.33203,9.89E-06,9.86E-05,0.0151
-7.31047,9.98E-06,7.98E-05,0.01464
-7.2889,8.72E-06,5.42E-05,0.01428
-7.26734,6.46E-06,2.88E-05,0.01426
-7.24577,3.81E-06,1.07E-05,0.01475
-7.22421,1.50E-06,4.93E-06,0.01578
-7.20264,1.75E-07,1.33E-05,0.01729
-7.18108,2.05E-07,3.37E-05,0.01906
-7.15951,1.60E-06,6.08E-05,0.02083
-7.13795,4.01E-06,8.71E-05,0.02233
-7.11638,6.77E-06,1.06E-04,0.02336
-7.09482,9.15E-06,1.11E-04,0.02382
-7.07325,1.05E-05,1.02E-04,0.02379
-7.05169,1.04E-05,8.13E-05,0.02345
-7.03012,8.98E-06,5.40E-05,0.02308
-7.00856,6.53E-06,2.77E-05,0.023
-6.98699,3.74E-06,9.96E-06,0.02345
-6.96543,1.39E-06,5.77E-06,0.02456
-6.94386,1.16E-07,1.66E-05,0.02631
-6.9223,2.87E-07,3.98E-05,0.02851
-6.90073,1.87E-06,6.92E-05,0.03087
-6.87917,4.45E-06,9.71E-05,0.03308
-6.8576,7.33E-06,1.16E-04,0.03483
-6.83604,9.74E-06,1.21E-04,0.03595
-6.81447,1.10E-05,1.10E-04,0.0364
-6.79291,1.08E-05,8.67E-05,0.03635
