Energy,beta 0,beta 0.1,beta 0.3
1035.86,3.30E-07,3.10E-06,9.28E-06
1036.05,1.52E-06,1.42E-05,4.26E-05
1036.23,3.90E-06,3.66E-05,1.09E-04
1036.42,7.91E-06,7.43E-05,2.22E-04
1036.61,1.41E-05,1.32E-04,3.93E-04
1036.8,2.31E-05,2.17E-04,6.39E-04
1036.99,3.57E-05,3.34E-04,9.74E-04
1037.18,5.28E-05,4.94E-04,0.00141
1037.36,7.56E-05,7.04E-04,0.00196
1037.55,1.05E-04,9.77E-04,0.00261
1037.74,1.44E-04,0.00133,0.00336
1037.93,1.93E-04,0.00176,0.00415
1038.12,2.55E-04,0.0023,0.00493
1038.31,3.33E-04,0.00296,0.00562
1038.49,4.30E-04,0.00376,0.00611
1038.68,5.50E-04,0.00471,0.00632
1038.87,6.98E-04,0.00581,0.00617
1039.06,8.78E-04,0.00709,0.0057
1039.25,0.0011,0.00852,0.00504
1039.44,0.00136,0.01011,0.00449
1039.63,0.00167,0.01183,0.00441
1039.81,0.00204,0.01363,0.00522
1040,0.00248,0.01548,0.00716
1040.19,0.00299,0.01731,0.01019
1040.38,0.00358,0.01905,0.0138
1040.57,0.00427,0.02064,0.01711
1040.76,0.00507,0.02199,0.01914
1040.94,0.00599,0.02304,0.01932
1041.13,0.00704,0.02376,0.01795
1041.32,0.00825,0.02413,0.01646
1041.51,0.00962,0.02421,0.0169
1041.7,0.01119,0.02409,0.02088
1041.89,0.01298,0.02394,0.02822
1042.07,0.01499,0.024,0.03638
1042.26,0.01727,0.02457,0.04166
1042.45,0.01982,0.026,0.04187
1042.64,0.02268,0.0286,0.03875
1042.83,0.02586,0.03265,0.03763
1043.02,0.0294,0.03835,0.04356
1043.2,0.03331,0.04571,0.05623
1043.39,0.03762,0.05458,0.06883
1043.58,0.04236,0.0646,0.07352
1043.77,0.04755,0.07522,0.06974
1043.96,0.05321,0.08578,0.06665
1044.15,0.05938,0.09557,0.07457
1044.33,0.06609,0.10393,0.09272
1044.52,0.07336,0.11044,0.10771
1044.71,0.08123,0.11496,0.10843
1044.9,0.08974,0.11778,0.10164
1045.09,0.09892,0.11966,0.10623
1045.28,0.1088,0.12175,0.12827
1045.47,0.11941,0.12548,0.14927
1045.65,0.13078,0.13225,0.15032
1045.84,0.14295,0.14311,0.14258
1046.03,0.15595,0.15852,0.15446
1046.22,0.16981,0.17801,0.186
1046.41,0.18456,0.20018,0.20353
1046.6,0.20022,0.22287,0.19538
1046.78,0.21682,0.24359,0.19775
1046.97,0.23438,0.26017,0.23267
1047.16,0.25292,0.27141,0.2618
1047.35,0.27244,0.27766,0.25543
1047.54,0.29293,0.28091,0.2563
1047.73,0.31437,0.28441,0.29788
