,546 eV,,540 eV,,535 eV,,529 eV,,551 eV,,557 eV,,551 eV,,545 eV,,540 eV,,534 eV,,
hw,m,m err,m,m err,m,m err,m,m err,m,m err,m,m err,m,m err,m,m err,m,m err,m,m err,mavg
1065.60784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066.18626,-4.83E-04,0.0027,0.00576,0.00214,0.00273,0.00119,0.00251,0.00387,0.01089,0.00307,0.00602,0.00157,0.00561,0.00172,-0.00105,3.98E-04,0.01635,0.0035,0.02288,0.00108,0.00712
1066.76522,-0.00115,0.00508,0.01091,0.00402,0.00514,0.00223,0.00447,0.00715,0.02036,0.00575,0.01106,0.00294,0.01052,0.00325,-0.0019,7.52E-04,0.03074,0.00658,0.0435,0.00202,0.01337
1067.34471,-0.00198,0.00715,0.01545,0.00566,0.00725,0.00314,0.0059,0.00987,0.02849,0.00807,0.01517,0.00411,0.01476,0.00461,-0.00255,0.00106,0.04324,0.00924,0.06191,0.00282,0.01876
1067.92474,-0.00297,0.00894,0.01942,0.00705,0.00908,0.00391,0.00683,0.01206,0.03532,0.01004,0.0184,0.0051,0.01837,0.0058,-0.00302,0.00134,0.05394,0.01152,0.07823,0.00348,0.02336
1068.5053,-0.00411,0.01045,0.02283,0.00821,0.01063,0.00455,0.0073,0.01375,0.04092,0.01167,0.02078,0.00591,0.02137,0.00684,-0.00332,0.00158,0.06291,0.01343,0.09251,0.00403,0.02718
1069.08641,-0.00539,0.0117,0.02571,0.00916,0.01191,0.00507,0.00732,0.01497,0.04535,0.01298,0.02237,0.00655,0.02379,0.00772,-0.00345,0.00178,0.07023,0.01499,0.10486,0.00445,0.03027
1069.66805,-0.0068,0.0127,0.02808,0.00991,0.01295,0.00547,0.00693,0.01577,0.04867,0.014,0.0232,0.00704,0.02566,0.00845,-0.00344,0.00195,0.07598,0.01622,0.11536,0.00476,0.03266
1070.25022,-0.00832,0.01347,0.02997,0.01046,0.01375,0.00577,0.00616,0.01617,0.05094,0.01472,0.02332,0.00738,0.02702,0.00905,-0.00329,0.00208,0.08024,0.01715,0.12408,0.00496,0.03439
1070.83294,-0.00994,0.01402,0.03139,0.01084,0.01432,0.00596,0.00503,0.01622,0.05222,0.01519,0.02278,0.00758,0.02789,0.00952,-0.003,0.00219,0.0831,0.0178,0.13112,0.00507,0.03549
1071.4162,-0.01166,0.01436,0.03237,0.01104,0.01469,0.00606,0.00358,0.01594,0.05258,0.0154,0.02162,0.00766,0.02831,0.00986,-0.0026,0.00227,0.08462,0.01819,0.13656,0.00507,0.03601
1072,-0.01347,0.01451,0.03293,0.01109,0.01486,0.00608,0.00183,0.01539,0.05207,0.01537,0.01989,0.00761,0.0283,0.01009,-0.00208,0.00233,0.0849,0.01834,0.1405,0.005,0.03597
1072.58434,-0.01534,0.01448,0.03309,0.011,0.01485,0.00601,-1.90E-04,0.0146,0.05077,0.01514,0.01763,0.00746,0.0279,0.01021,-0.00147,0.00237,0.08402,0.01827,0.14301,0.00484,0.03543
1073.16923,-0.01728,0.0143,0.03288,0.01078,0.01468,0.00587,-0.00245,0.01363,0.04873,0.0147,0.0149,0.00721,0.02714,0.01024,-7.75E-04,0.00238,0.08205,0.01801,0.14418,0.00461,0.03441
1073.75465,-0.01927,0.01397,0.03232,0.01044,0.01434,0.00567,-0.00491,0.01255,0.04602,0.01409,0.01172,0.00687,0.02605,0.01017,-2.01E-06,0.00238,0.07909,0.01759,0.14411,0.00431,0.03295
1074.34062,-0.02129,0.01351,0.03144,0.01,0.01387,0.00541,-0.00756,0.01143,0.0427,0.01332,0.00817,0.00646,0.02466,0.01002,8.36E-04,0.00237,0.07521,0.01702,0.14288,0.00397,0.03109
1074.92714,-0.02334,0.01294,0.03025,0.00946,0.01327,0.0051,-0.01035,0.01038,0.03883,0.01241,0.00427,0.00598,0.023,0.0098,0.00173,0.00234,0.07051,0.01633,0.14058,0.00358,0.02888
1075.5142,-0.02541,0.01228,0.02879,0.00885,0.01256,0.00476,-0.01326,0.00953,0.03449,0.01139,7.85E-05,0.00545,0.0211,0.00951,0.00266,0.0023,0.06505,0.01555,0.1373,0.00316,0.02634
1076.10181,-0.02748,0.01154,0.02707,0.00817,0.01175,0.0044,-0.01626,0.00902,0.02973,0.01027,-0.00436,0.0049,0.01901,0.00917,0.00363,0.00226,0.05893,0.0147,0.13314,0.00274,0.02352
1076.68997,-0.02955,0.01075,0.02511,0.00745,0.01085,0.00403,-0.01932,0.00898,0.02462,0.00909,-0.00899,0.00432,0.01674,0.00879,0.00462,0.00221,0.05224,0.01381,0.12817,0.00235,0.02045
1077.27867,-0.03159,0.00993,0.02296,0.00669,0.00989,0.00366,-0.0224,0.00945,0.01923,0.00789,-0.01377,0.00377,0.01433,0.00839,0.00561,0.00216,0.04505,0.01291,0.1225,0.00205,0.01718
1077.86792,-0.03361,0.00911,0.02062,0.00593,0.00887,0.00333,-0.02549,0.01036,0.01361,0.00671,-0.01865,0.00326,0.01182,0.00796,0.0066,0.00211,0.03746,0.01203,0.11621,0.00191,0.01374
1078.45772,-0.03558,0.00833,0.01812,0.00517,0.0078,0.00306,-0.02853,0.01158,0.00785,0.00564,-0.02359,0.00286,0.00923,0.00753,0.00758,0.00206,0.02956,0.01118,0.1094,0.00201,0.01018
1079.04807,-0.0375,0.00762,0.01549,0.00445,0.00671,0.00287,-0.03152,0.01299,0.00201,0.00479,-0.02853,0.00262,0.00661,0.00712,0.00854,0.00202,0.02142,0.01041,0.10216,0.00232,0.00654
1079.63898,-0.03935,0.00703,0.01274,0.0038,0.00561,0.0028,-0.0344,0.01446,-0.00386,0.00434,-0.03342,0.0026,0.00398,0.00674,0.00945,0.00198,0.01314,0.00974,0.09459,0.00279,0.00285
1080.23043,-0.04113,0.0066,0.00992,0.00328,0.00451,0.00285,-0.03716,0.01592,-0.00967,0.00441,-0.03822,0.0028,0.00137,0.00642,0.01032,0.00195,0.0048,0.00917,0.08677,0.00334,-8.49E-04
1080.82244,-0.04281,0.00637,0.00703,0.00294,0.00343,0.00301,-0.03975,0.01729,-0.01536,0.00497,-0.04287,0.00315,-0.00117,0.00616,0.01113,0.00193,-0.0035,0.00871,0.07881,0.00395,-0.00451
1081.415,-0.04439,0.00637,0.00411,0.00282,0.00238,0.00326,-0.04216,0.01852,-0.02087,0.00584,-0.04733,0.00359,-0.00362,0.006,0.01187,0.00191,-0.01168,0.00836,0.07079,0.00457,-0.00809
1082.00811,-0.04586,0.00657,0.00118,0.00292,0.00137,0.00356,-0.04434,0.01955,-0.02612,0.00687,-0.05154,0.00407,-0.00594,0.00593,0.01252,0.0019,-0.01965,0.0081,0.06281,0.0052,-0.01156
1082.60178,-0.04721,0.00694,-0.00173,0.00316,4.26E-04,0.0039,-0.04626,0.02034,-0.03105,0.00794,-0.05546,0.00454,-0.0081,0.00596,0.01308,0.00189,-0.02731,0.0079,0.05498,0.00582,-0.01486
1083.196,-0.04841,0.00743,-0.0046,0.00349,-4.42E-04,0.00424,-0.0479,0.02086,-0.03558,0.00899,-0.05902,0.00499,-0.01007,0.00609,0.01353,0.00188,-0.03458,0.00773,0.04738,0.00642,-0.01797
1083.79078,-0.04946,0.008,-0.00741,0.00382,-0.00122,0.00456,-0.04921,0.02105,-0.03964,0.00996,-0.0622,0.00538,-0.0118,0.00631,0.01386,0.00186,-0.04137,0.00755,0.04011,0.00699,-0.02083
1084.38612,-0.05036,0.00861,-0.01012,0.00413,-0.00189,0.00486,-0.05017,0.0209,-0.04317,0.01084,-0.06492,0.0057,-0.01327,0.0066,0.01406,0.00185,-0.04758,0.00736,0.03327,0.00753,-0.02342
1084.98202,-0.05107,0.00922,-0.01271,0.00439,-0.00243,0.00512,-0.05076,0.02038,-0.0461,0.01158,-0.06714,0.00594,-0.01443,0.00694,0.01411,0.00183,-0.05312,0.00714,0.02696,0.00802,-0.02567
1085.57847,-0.05161,0.00981,-0.01517,0.00457,-0.00285,0.00533,-0.051,0.01952,-0.04834,0.01216,-0.06881,0.00608,-0.01526,0.00731,0.01401,0.00179,-0.05797,0.00694,0.02128,0.00845,-0.02757
1086.17549,-0.05201,0.01039,-0.01749,0.00469,-0.00314,0.00549,-0.05093,0.0184,-0.04986,0.01257,-0.06987,0.00611,-0.01572,0.00771,0.01374,0.00175,-0.06217,0.0068,0.01632,0.00883,-0.02911
1086.77306,-0.05233,0.01095,-0.0197,0.00476,-0.0033,0.0056,-0.05059,0.01707,-0.05068,0.01281,-0.07032,0.00604,-0.01578,0.00812,0.0133,0.00169,-0.06574,0.0068,0.01219,0.00915,-0.0303
1087.3712,-0.05262,0.01149,-0.02181,0.0048,-0.00336,0.00565,-0.05003,0.01561,-0.05087,0.01289,-0.07021,0.00587,-0.01549,0.00852,0.01269,0.00162,-0.06873,0.00698,0.0089,0.0094,-0.03115
1087.96989,-0.05292,0.01199,-0.02384,0.00482,-0.00332,0.00567,-0.04927,0.0141,-0.05047,0.01282,-0.06958,0.00561,-0.0149,0.00892,0.01192,0.00154,-0.07117,0.00733,0.00635,0.00958,-0.03172
1088.56916,-0.05331,0.01244,-0.02579,0.00483,-0.00318,0.00563,-0.04837,0.01264,-0.04956,0.01261,-0.06848,0.00527,-0.01406,0.00931,0.01103,0.00145,-0.0731,0.00784,0.00444,0.00971,-0.03204
1089.16898,-0.05382,0.01283,-0.02769,0.00484,-0.00297,0.00555,-0.04735,0.01137,-0.04818,0.01228,-0.06696,0.00486,-0.01303,0.00968,0.01001,0.00136,-0.07455,0.00844,0.00309,0.00978,-0.03215
1089.76937,-0.05451,0.01314,-0.02956,0.00485,-0.00268,0.00543,-0.04627,0.01043,-0.04641,0.01184,-0.06506,0.00441,-0.01186,0.01003,0.00889,0.00126,-0.07556,0.00907,0.00218,0.00979,-0.03208
1090.37032,-0.05544,0.01335,-0.03139,0.00485,-0.00232,0.00527,-0.04515,0.00995,-0.04429,0.01131,-0.06283,0.00393,-0.01061,0.01037,0.00768,0.00117,-0.07617,0.00966,0.00163,0.00976,-0.03189
1090.97184,-0.05666,0.01345,-0.03322,0.00484,-0.00191,0.00508,-0.04405,0.00998,-0.0419,0.01069,-0.06033,0.00344,-0.00934,0.01068,0.00641,0.00108,-0.07642,0.01015,0.00133,0.00967,-0.03161
1091.57392,-0.05822,0.01343,-0.03505,0.00481,-0.00146,0.00485,-0.043,0.01048,-0.03928,0.01001,-0.0576,0.00298,-0.0081,0.01096,0.00508,9.94E-04,-0.07634,0.01048,0.00117,0.00955,-0.03128
1092.17658,-0.06018,0.01328,-0.0369,0.00474,-9.73E-04,0.00459,-0.04204,0.0113,-0.0365,0.00927,-0.05469,0.00263,-0.00695,0.01121,0.0037,9.19E-04,-0.07598,0.01061,0.00107,0.00938,-0.03094
1092.7798,-0.0626,0.01302,-0.03879,0.00461,-4.59E-04,0.00431,-0.04121,0.0123,-0.03363,0.00851,-0.05165,0.00245,-0.00595,0.01142,0.00231,8.55E-04,-0.07536,0.01049,9.07E-04,0.00918,-0.03064
1093.38359,-0.06553,0.01266,-0.04073,0.00443,7.13E-05,0.00401,-0.04057,0.01332,-0.03072,0.00773,-0.04853,0.00252,-0.00516,0.01159,9.12E-04,7.99E-04,-0.07454,0.01009,5.91E-04,0.00894,-0.03042
