,546 eV,,540 eV,,535 eV,,529 eV,,551 eV,,557 eV,,551 eV,,545 eV,,540 eV,,534 eV,
Energy,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err
1065.60784,7.67E-11,2.66E-10,1.07E-18,3.61E-18,3.84E-12,9.43E-12,7.69E-11,2.58E-10,1.94E-20,5.47E-20,6.40E-16,2.21E-15,7.98E-13,2.76E-12,6.34E-12,2.18E-11,1.47E-13,3.40E-13,3.12E-14,4.83E-14
1066.18626,7.93E-11,2.75E-10,1.12E-18,3.76E-18,3.85E-12,9.45E-12,7.84E-11,2.62E-10,3.63E-20,1.01E-19,9.09E-16,3.14E-15,9.63E-13,3.34E-12,6.37E-12,2.19E-11,2.58E-13,5.99E-13,5.54E-14,8.58E-14
1066.76522,8.20E-11,2.84E-10,1.16E-18,3.91E-18,3.85E-12,9.47E-12,8.00E-11,2.66E-10,6.80E-20,1.88E-19,1.29E-15,4.46E-15,1.16E-12,4.03E-12,6.39E-12,2.19E-11,4.56E-13,1.06E-12,9.85E-14,1.53E-13
1067.34471,8.48E-11,2.94E-10,1.21E-18,4.07E-18,3.85E-12,9.47E-12,8.17E-11,2.69E-10,1.27E-19,3.48E-19,1.84E-15,6.35E-15,1.40E-12,4.86E-12,6.43E-12,2.19E-11,8.03E-13,1.86E-12,1.75E-13,2.71E-13
1067.92474,8.76E-11,3.03E-10,1.26E-18,4.24E-18,3.85E-12,9.47E-12,8.36E-11,2.73E-10,2.39E-19,6.47E-19,2.62E-15,9.02E-15,1.69E-12,5.87E-12,6.48E-12,2.19E-11,1.41E-12,3.28E-12,3.11E-13,4.82E-13
1068.5053,9.04E-11,3.13E-10,1.31E-18,4.41E-18,3.85E-12,9.47E-12,8.56E-11,2.77E-10,4.50E-19,1.20E-18,3.73E-15,1.28E-14,2.05E-12,7.09E-12,6.57E-12,2.19E-11,2.49E-12,5.76E-12,5.54E-13,8.58E-13
1069.08641,9.33E-11,3.23E-10,1.36E-18,4.58E-18,3.85E-12,9.47E-12,8.78E-11,2.80E-10,8.46E-19,2.24E-18,5.31E-15,1.83E-14,2.47E-12,8.56E-12,6.70E-12,2.18E-11,4.35E-12,1.01E-11,9.84E-13,1.52E-12
1069.66805,9.62E-11,3.33E-10,1.42E-18,4.76E-18,3.86E-12,9.47E-12,9.02E-11,2.84E-10,1.59E-18,4.16E-18,7.57E-15,2.60E-14,2.98E-12,1.03E-11,6.90E-12,2.18E-11,7.58E-12,1.76E-11,1.75E-12,2.71E-12
1070.25022,9.91E-11,3.43E-10,1.47E-18,4.95E-18,3.86E-12,9.47E-12,9.29E-11,2.87E-10,3.01E-18,7.75E-18,1.08E-14,3.70E-14,3.60E-12,1.25E-11,7.21E-12,2.18E-11,1.30E-11,3.02E-11,3.10E-12,4.80E-12
