Energy,Baselined Counts,0.04,.04 err,0.11,.11 err,0.18,.18 err,0.26,.26 err,0.33,.33 err,0.4,.4 err,0.48,.48 err,0.55,.55 err,0.62,.62 err,0.69,.69 err
497.1448,24.1949,304.55089,0.17327,311.56539,0.12222,326.04393,0.62384,345.17258,0.62193,368.19302,0.66616,393.32049,1.17455,418.11486,1.38079,442.93571,0.56114,469.33297,2.19671,498.49399,2.00626
497.31754,19.32428,304.39867,0.22586,310.77265,0.1914,324.86678,0.72757,342.34455,0.83215,364.1902,0.58819,388.47556,1.27322,412.19174,1.14985,435.89254,1.15794,461.77279,1.29646,478.96078,5.68644
497.49037,19.69283,303.77176,0.12365,310.47546,0.43507,324.15875,0.70723,342.4361,0.64449,364.24075,0.59592,389.04813,1.28047,412.69506,1.0517,436.59525,1.20853,462.57593,1.71197,469.17059,9.15617
497.66328,19.9782,304.0792,0.16307,310.80497,0.11558,324.10173,0.40354,343.04573,0.29714,364.65365,0.61988,389.43384,1.22395,412.77376,1.21043,437.0563,0.32382,459.94779,1.49444,469.16118,4.11576
497.83628,20.48256,304.20533,0.13353,311.14569,0.1803,324.96687,1.08785,343.28887,0.37555,365.31155,0.68845,389.77906,1.27614,413.38976,1.47174,437.65146,0.94229,460.46836,2.62808,478.73399,11.59846
498.00936,20.36285,303.96061,0.10412,310.86723,0.21164,324.85521,0.86202,343.46876,0.72836,365.0232,0.68496,389.58221,1.32029,413.47624,1.3593,437.39359,1.17442,460.57768,3.25188,482.46706,6.86
498.18253,20.65098,304.17439,0.48729,311.00571,0.36519,324.67172,0.58247,343.9351,1.2312,365.31086,0.77146,389.90626,1.32122,413.72696,1.19534,437.57659,1.05708,462.20749,2.0659,481.73229,7.02086
498.35579,21.02786,304.30661,0.5344,311.41028,0.16152,324.54245,0.01623,343.63272,0.92615,365.61458,0.47532,390.29197,1.21235,414.16767,0.8526,438.44825,1.18665,462.35113,1.19122,480.79046,9.05257
498.52914,21.19823,303.92854,0.16544,311.45013,0.22745,324.80783,0.76517,343.08572,0.72467,365.70074,0.66214,390.37951,1.03496,414.5073,0.82047,439.06961,1.8193,462.67201,1.03923,478.1085,6.94249
498.70257,21.2545,304.16537,0.35751,311.24693,0.61612,324.82542,0.54991,343.40253,0.93905,365.74039,0.56817,390.48009,1.12844,414.6261,1.00143,438.66979,1.04563,463.00686,2.18314,479.43595,7.14607
498.87609,21.37735,304.39323,0.06514,311.32455,0.70385,324.84899,0.7631,343.20668,0.97367,365.81963,0.39834,390.75273,1.26642,414.6507,0.97551,438.90093,1.15482,462.5182,2.44094,487.47346,8.25175
499.0497,21.49121,304.54728,0.22256,311.01397,0.50892,324.5355,0.84967,343.53856,0.89055,366.265,0.39384,390.97672,1.25191,414.54788,0.70685,438.67528,1.17778,462.01028,2.4246,491.18039,8.41684
499.22339,21.87481,304.3834,0.16993,311.25611,0.70165,324.78665,0.4591,343.8275,1.20311,366.70051,0.61521,391.20631,1.52649,414.79658,0.90716,439.50526,1.23934,466.49159,2.09411,491.21255,6.2815
499.39717,21.99723,304.16015,0.16779,311.19394,0.54121,324.72469,0.08931,344.36808,0.52278,365.99559,0.76579,391.1615,1.45259,415.50535,1.26578,440.07222,1.64618,467.60925,3.11562,475.63948,11.46003
499.57104,22.11713,304.35163,0.51844,311.27398,0.40715,325.08205,0.45101,344.42054,0.79412,366.07664,0.51348,391.32259,1.31995,415.52347,0.76597,440.48112,1.49203,466.84818,1.89944,479.59673,11.15751
499.74499,22.29882,304.45604,0.4495,311.48112,0.15022,325.27555,1.08808,344.36241,0.72779,366.50704,0.49478,391.54294,1.15663,415.6204,0.76465,440.42599,0.78713,466.78541,1.12095,484.20784,11.15137
499.91904,22.39773,304.22225,0.16184,311.43927,0.22872,325.15763,0.60942,344.13976,0.83901,366.34046,0.78254,391.98671,1.21942,415.88353,1.06431,440.10281,1.36403,464.77378,0.71422,488.2,7.74769
500.09317,22.56575,304.39702,0.15363,311.62947,0.05992,325.30671,0.39826,343.93744,1.08009,366.61792,1.13428,391.9431,1.05105,416.29516,1.05621,440.44944,1.45389,464.1953,2.68844,481.3149,5.69026
500.26739,22.58464,304.67062,0.07978,311.5662,0.41847,325.49647,0.53246,344.2995,0.91828,366.37749,1.21344,392.0425,1.28375,416.18085,1.02262,440.78462,1.09086,464.81832,1.92104,478.34732,7.15326
