Energy,A0D0,Energy,A0D1,Energy,A0D2,Energy,A2D0
527.5,8.55E-11,527.5,1.55E-10,532.5,3.99E-12,527.5,5.20E-11
532.5,1.23E-10,532.5,7.08E-11,535,3.43E-10,532.5,2.69E-10
535,1.08E-10,535,4.86E-10,537.5,2.39E-11,535,3.27E-10
537.5,8.21E-11,536.5,4.75E-10,540,1.45E-10,537.5,5.30E-10
540,1.05E-10,537.5,2.84E-10,542.5,2.72E-10,540,1.01E-09
542.5,5.65E-11,537.5,5.78E-10,543.75,3.10E-10,542.5,1.41E-09
543.75,5.06E-11,538.5,4.54E-10,545,3.91E-10,543.75,1.40E-09
545,1.18E-10,540,1.36E-09,547.5,5.57E-10,545,1.32E-09
547.5,3.21E-10,541.5,7.30E-10,550,6.29E-10,547.5,1.45E-09
550,5.38E-10,542.5,7.28E-10,557.5,6.58E-10,550,1.42E-09
557.5,7.29E-10,543.75,9.83E-10,567.5,4.71E-10,557.5,1.25E-09
567.5,4.22E-10,544,9.24E-10,572.5,5.28E-10,567.5,7.65E-10
572.5,8.34E-11,545,5.76E-10,,,572.5,5.60E-10
,,547.5,2.90E-10,,,,
,,550,8.16E-10,,,,
,,557.5,3.93E-10,,,,
,,567.5,8.53E-10,,,,
,,572.5,3.68E-10,,,,
