Energy,t0,t0 err,m,m err
1.032948929535187062e+03,6.051735029691004408e-01,4.403102023893083576e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.033497582544836860e+03,6.026860056265139765e-01,3.401308585011395252e-03,2.728807053223232006e-03,1.191008065890756086e-03
1.034046729171601100e+03,5.972806338350337141e-01,4.317641703907050370e-03,5.142801202400245665e-03,2.234897709089869733e-03
1.034596370081932491e+03,5.961072759340165783e-01,5.294510493876497526e-03,7.254939826346473199e-03,3.137985740864929120e-03
1.035146505943483817e+03,5.923888326333586196e-01,6.482850930920199505e-03,9.078252648606335504e-03,3.906648256181596314e-03
1.035697137425110895e+03,5.884512743862636563e-01,7.769969666735611000e-03,1.062584206694612912e-02,4.547326889186739836e-03
1.036248265196875309e+03,5.854620743462777277e-01,9.546986257367997067e-03,1.191088348433900004e-02,5.066536919816675040e-03
1.036799889930047357e+03,5.820079926670723713e-01,1.074561202240924274e-02,1.294662564145072567e-02,5.470877904842349343e-03
1.037352012297108558e+03,5.759300397871200961e-01,9.764112460892536080e-03,1.374639095063191936e-02,5.767047794030935592e-03
1.037904632971753699e+03,5.722587384216205608e-01,9.752602742522117549e-03,1.432357583142525835e-02,5.961861920395784484e-03
1.038457752628894241e+03,5.697969545940478886e-01,9.853722658325484926e-03,1.469165104759687264e-02,6.062278900347724264e-03
1.039011371944661278e+03,5.666581235815405515e-01,9.891198260778832907e-03,1.486416204569522732e-02,6.075436469160737200e-03
1.039565491596408265e+03,5.650859547321511744e-01,9.550419335723002445e-03,1.485472929514619449e-02,6.008701809150404638e-03
1.040120112262712382e+03,5.646148523318634815e-01,9.031170404610442196e-03,1.467704862989266390e-02,5.869743322060712483e-03
1.040675234623379993e+03,5.644207570789924189e-01,8.524530432204071792e-03,1.434489159158467558e-02,5.666634556124370767e-03
1.041230859359447550e+03,5.633474688088396798e-01,8.016705319864439461e-03,1.387210577432814416e-02,5.408006873485084534e-03
1.041786987153183645e+03,5.622120376110625317e-01,7.469639864124895043e-03,1.327261517100121295e-02,5.103276415322655947e-03
1.042343618688093784e+03,5.603969394078187616e-01,7.033535952922794106e-03,1.256042052114098896e-02,4.762983754143140444e-03
1.042900754648922202e+03,5.629427619377546099e-01,6.698459100055853717e-03,1.174959966041342480e-02,4.399299858685016933e-03
1.043458395721654369e+03,5.648910068820450769e-01,5.818917593172886517e-03,1.085430787167164166e-02,4.026759020919075047e-03
1.044016542593520398e+03,5.668777977927749179e-01,4.965889230035646154e-03,9.888778237608883068e-03,3.663238232640567485e-03
1.044575195952997774e+03,5.674285042860036654e-01,4.424728611807638573e-03,8.867321995015959440e-03,3.330998762387688949e-03
1.045134356489814081e+03,5.672494525686817557e-01,4.112734875113193550e-03,7.804328890650126700e-03,3.057012505119112347e-03
1.045694024894949507e+03,5.670433727878123609e-01,4.332816089384881192e-03,6.714267538723487153e-03,2.870724204874982709e-03
1.046254201860640478e+03,5.689205408125841412e-01,4.081991697271991973e-03,5.611685780015937194e-03,2.797073781823174090e-03
1.046814888080381479e+03,5.707541841567904672e-01,3.717996828861172727e-03,4.511211042626145883e-03,2.846248636823765169e-03
1.047376084248928464e+03,5.718776946469967815e-01,3.751871315983228237e-03,3.427550704361729227e-03,3.008105168005511046e-03
1.047937791062302267e+03,5.733071329567753782e-01,3.977765749595084215e-03,2.375492456779635699e-03,3.257171723933225110e-03
1.048500009217790875e+03,5.747239324285718931e-01,4.232851382315178795e-03,1.369904670886896514e-03,3.562987156450353639e-03
1.049062739413952158e+03,5.763203559629566097e-01,4.619495671781529214e-03,4.257367645063954908e-04,3.897487623287969240e-03
1.049625982350616823e+03,5.782195799694715976e-01,5.109186601678995625e-03,-4.419804286838657694e-04,4.237499990905695645e-03
1.050189738728891825e+03,5.800146123158517186e-01,5.388040113330223868e-03,-1.218134288430138771e-03,4.564475351043532914e-03
1.050754009251162870e+03,5.821515992486481217e-01,5.735776653902298350e-03,-1.887530035490701417e-03,4.863429038028363287e-03
1.051318794621097140e+03,5.841212678901562816e-01,6.065199605512205765e-03,-2.434890382167299427e-03,5.121942855239061849e-03
1.051884095543646481e+03,5.851651450815266164e-01,6.216600843807122342e-03,-2.849146454609092442e-03,5.331005515442691772e-03
1.052449912725050808e+03,5.857381096105622742e-01,6.109205110657251955e-03,-3.135443389928146106e-03,5.488928125481943102e-03
1.053016246872840611e+03,5.861855477824862160e-01,6.132782696087884199e-03,-3.302812563562592882e-03,5.596429916241546162e-03
1.053583098695838999e+03,5.876245930644585780e-01,6.318644984671742577e-03,-3.360335869665176129e-03,5.654829093980098982e-03
1.054150468904166019e+03,5.893911079282485588e-01,6.013080078353991338e-03,-3.317145953676099539e-03,5.665789268405808932e-03
1.054718358209241387e+03,5.904284726789131854e-01,5.635250497852998912e-03,-3.182426445962692040e-03,5.631176834254228089e-03
1.055286767323786762e+03,5.910897417315209568e-01,5.452727107602152977e-03,-2.965412196532508319e-03,5.552992940400607730e-03
1.055855696961829153e+03,5.910413588045124733e-01,5.250646326698211325e-03,-2.675389510824451554e-03,5.433365435911882008e-03
1.056425147838704561e+03,5.900857092319166108e-01,5.097383006305504331e-03,-2.321696386582648534e-03,5.274601106668258717e-03
1.056995120671059794e+03,5.890266601639727595e-01,5.016258148560783468e-03,-1.913722751819888108e-03,5.079312326290926459e-03
1.057565616176855656e+03,5.888648166651612170e-01,5.002128968795468110e-03,-1.460910703874338749e-03,4.850649497107575869e-03
1.058136635075371260e+03,5.928013388178614562e-01,5.595604053333775446e-03,-9.727547495641234885e-04,4.592696449946218583e-03
1.058708178087205397e+03,5.848300826904589966e-01,4.102805841963870319e-03,-4.588020464485667973e-04,4.311126646205686377e-03
1.059280245934280401e+03,5.824990795379961783e-01,3.699836953944815252e-03,7.134735480279553500e-05,4.014278479993689357e-03
1.059852839339845104e+03,5.807987899502115026e-01,3.879924794697891567e-03,6.080402669254935484e-04,3.714875026011402095e-03
1.060425959028478019e+03,5.800117628387434499e-01,4.037581786640041456e-03,1.141570121455193296e-03,3.432591323231247351e-03
1.060999605726090067e+03,5.792266932323300033e-01,4.047041148099572890e-03,1.662176722996456558e-03,3.197203381865924322e-03
1.061573780159927765e+03,5.787341520885996848e-01,3.926511706916232733e-03,2.160046002360698110e-03,3.050335300443142092e-03
1.062148483058576630e+03,5.788241000228531163e-01,4.533218034809273836e-03,2.625309768567537019e-03,3.040773490351161672e-03
1.062723715151963233e+03,5.792787236012120200e-01,5.450674364228873595e-03,3.048045459702809767e-03,3.209301840697342378e-03
1.063299477171360195e+03,5.793701886166437998e-01,6.385945943816345900e-03,3.418275892631118459e-03,3.571964712269299919e-03
1.063875769849386643e+03,5.795675775296221799e-01,7.337010976814310574e-03,3.725969011551720500e-03,4.119210340271649284e-03
1.064452593920014124e+03,5.807108112999781468e-01,8.107250708723316018e-03,3.961037635399220803e-03,4.829812843131269830e-03
1.065029950118567513e+03,5.828599069683526590e-01,8.592197674865055534e-03,4.113339204076610356e-03,5.683531186535792368e-03
1.065607839181729332e+03,5.864100981048313566e-01,9.192199054982230430e-03,4.172675523520113366e-03,6.665946272556125957e-03
1.066186261847542937e+03,5.906739785042512958e-01,1.006306660767926527e-02,4.128792509587285615e-03,7.768482132803461102e-03
1.066765218855414332e+03,5.956605074555505475e-01,1.131914618349079069e-02,3.971379930763943057e-03,8.987027341298331473e-03
1.067344710946117175e+03,6.030212146878405344e-01,1.266688473512251646e-02,3.690071149683608453e-03,1.032059068843856585e-02
1.067924738861794594e+03,6.121184416028943032e-01,1.423027191297326216e-02,3.274442863454191631e-03,1.177031111766754443e-02
1.068505303345962830e+03,6.206238419429563891e-01,1.615978920350030421e-02,2.714014842785712582e-03,1.333878880636363805e-02
1.069086405143514185e+03,6.295542482094991232e-01,1.815551760285627134e-02,1.998249669913688010e-03,1.502964367543362795e-02
1.069668045000720895e+03,6.388419636836565330e-01,2.056261875063797318e-02,1.116552475310908293e-03,1.684722316658049043e-02
