Fund. Intensity (a.u.),SHG Intensity (a.u.),SHG Intensity err,Quadratic Fit
1.82E+03,-2.23E+01,6.70E+01,1.73E-14
5.73E+03,3.07E+00,2.06E+00,1.72E-13
1.36E+04,-6.74E+00,1.43E+01,9.70E-13
2.56E+04,2.40E+00,3.18E+01,3.43E-12
4.08E+04,1.79E+01,2.55E+01,8.73E-12
5.37E+04,6.59E+01,4.61E+01,1.51E-11
5.87E+04,1.05E+02,1.75E+02,1.81E-11
6.48E+04,-1.18E+02,1.32E+02,2.20E-11
7.55E+04,-3.05E+01,1.69E+02,2.99E-11
8.69E+04,-4.68E+01,2.39E+02,3.96E-11
1.01E+05,1.10E+01,1.01E+02,5.32E-11
1.14E+05,9.62E+00,8.10E+01,6.83E-11
1.26E+05,2.76E+01,8.88E+01,8.26E-11
1.40E+05,4.68E+01,8.37E+01,1.03E-10
1.56E+05,-2.80E+01,4.79E+01,1.27E-10
1.74E+05,-4.43E+01,3.90E+01,1.59E-10
1.93E+05,-9.45E+01,2.12E+02,1.95E-10
2.09E+05,-2.25E+02,1.58E+02,2.28E-10
2.17E+05,2.10E+02,4.70E+02,2.47E-10
2.46E+05,9.66E+02,1.41E+03,3.17E-10
