Fund. Intensity (a.u.),SHG Intensity (a.u.),SHG Intensity err,Quadratic Fit
2.90E+02,7.70E+01,1.58E+02,2.50E-05
5.30E+03,-7.10E+01,1.32E+02,8.32E-03
8.07E+03,-8.96E+01,1.01E+02,1.93E-02
1.29E+04,-1.03E+02,1.28E+02,4.93E-02
2.66E+04,-9.65E+01,1.51E+02,2.10E-01
4.63E+04,-4.25E+01,3.57E+01,6.36E-01
6.36E+04,1.87E+00,1.18E+02,1.20E+00
7.97E+04,6.36E+00,8.09E+01,1.89E+00
9.37E+04,-2.32E+01,1.35E+02,2.61E+00
1.06E+05,7.23E+01,1.26E+02,3.32E+00
1.16E+05,1.63E+01,9.93E+01,3.99E+00
1.25E+05,-4.97E+01,8.98E+01,4.63E+00
1.33E+05,-1.20E+01,9.79E+01,5.21E+00
1.39E+05,-1.32E+01,1.51E+02,5.74E+00
1.46E+05,1.26E+01,1.40E+02,6.31E+00
1.53E+05,4.24E+01,2.42E+02,6.92E+00
1.60E+05,-3.95E+01,2.20E+02,7.61E+00
1.73E+05,-5.32E+01,1.35E+02,8.85E+00
1.82E+05,5.10E+01,5.37E+02,9.77E+00
1.89E+05,-6.29E+02,5.06E+02,1.06E+01
