Energy,XFEL Harm,Fund Sq,Bin 1,Bin 1 err,Bin 3,Bin 3 err,Bin 5,Bin 5 err,Bin 7,Bin 7 err,Bin 9,Bin 9 err,Bin 11,Bin 11 err,Bin 13,Bin 13 err,Bin 15,Bin 15 err
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.829205103067134041e+06,2.829205103067134041e+06,2.111460644975234866e+08,2.111460644975234866e+08,1.960176417823987722e+09,1.960176417823987722e+09,8.834565580708997726e+09,8.834565580708997726e+09,2.205664637627632904e+10,2.205664637627632904e+10,3.834329602019252777e+10,3.834329602019252777e+10,5.285488020043573761e+10,5.285488020043573761e+10,7.110963451693923950e+10,7.110963451693923950e+10
1.049625982350616823e+03,1.961850958669848710e+00,6.175950689079979378e-02,1.242101298527252151e+00,1.671904180529773853e+00,-2.628389340616927861e-01,2.626395062860301111e-01,-2.051161595243889135e-01,1.949711074290792212e-01,8.618994140782815228e-01,1.659858891122567293e-01,1.360254498299373616e+00,4.493840704748557902e-01,3.428430842190586247e-01,7.452840722744652480e-01,-2.542248404747688983e+00,1.890451209995201554e+00,-5.652472156641702661e+00,3.394148057605413271e+00
1.050189738728891825e+03,2.327385147504851037e+00,6.175950689079979378e-02,2.115930514523917338e+00,1.645808961597454934e+00,-1.722584004830689242e-01,6.708153238993339595e-01,6.604003752258336135e-02,2.004040557911659359e-01,1.019241011698525767e+00,3.453738767760554107e-01,1.426846701789302729e+00,9.513649660661684937e-01,-5.475625232227313566e-01,9.045183706309288807e-01,-3.611975839162691049e+00,1.514571045855655829e+00,-9.528947858376838553e+00,4.770805763874109928e+00
1.050754009251162870e+03,2.819127906545144668e+00,6.175950689079979378e-02,1.794033542479839483e+00,2.999017962208739174e+00,-4.745463933026292658e-01,4.527147797739297652e-01,-2.803524839187832574e-01,4.534994906129958259e-01,1.042056708610261451e+00,5.872499221834287519e-01,8.270417714441856694e-01,1.077853232217288681e+00,-5.438316728832663927e-01,5.112062253964761993e-01,-3.959652521319307450e+00,2.859130371584136743e+00,-1.020599679747834898e+01,4.505155282834059527e+00
1.051318794621097140e+03,3.330433827822183002e+00,6.175950689079979378e-02,2.114450239386100883e+00,3.237952307996915469e+00,-1.793196697442131227e-01,8.694041639400218457e-01,2.423936211944616170e-01,3.257826788774886295e-01,8.574264966564507651e-01,2.677252818476745233e-01,1.201552613501376099e+00,9.222114993495085233e-01,-1.255618225342833627e+00,7.207644896680213131e-01,-4.838607837704696379e+00,3.735066658142454088e+00,-1.274330144741665727e+01,3.082658430730396137e+00
1.051884095543646481e+03,3.899127495674745258e+00,6.779698149419316477e-02,4.989423860119248211e+00,3.540828487633158161e+00,-3.019881714551779783e-01,9.275852248084133223e-01,1.036408862585338930e+00,5.330130726036965694e-01,8.675947382598101498e-01,5.325794373149119743e-01,1.293283307765412227e+00,8.362441944120412307e-01,-1.273300293055612542e-03,6.485820755181630481e-01,-4.815560167710500217e+00,3.572817235269119873e+00,-1.269505536691372782e+01,6.869113030599868885e+00
1.052449912725050808e+03,4.497242343580652779e+00,1.089720599559551445e-01,2.929628780049051140e-01,1.144824348806212866e+00,2.844691377806746746e-01,1.287747969006648452e+00,5.099670926998225440e-01,7.161247314897594141e-01,8.035217976109318982e-01,4.758406449245485836e-01,8.407709260843662102e-01,8.630998217108575288e-01,-1.321962103139794065e-01,9.756160302739578238e-01,-4.745844392791937594e+00,4.173244913645524967e+00,-1.061324448724514902e+01,5.980270605812355811e+00
1.053016246872840611e+03,5.240612397149243762e+00,1.700470927736736082e-01,-2.215656901369180698e+00,1.742421300396140627e+00,8.037722714063946228e-01,4.545642260855908279e-01,6.048380243672523138e-01,1.620152013053774431e-01,5.474923523129732184e-01,9.381703104788788883e-01,-4.206682346415036022e-02,7.432926540486139988e-01,-2.302286185817776332e+00,1.036329245806246080e+00,-6.591913904630684051e+00,3.847817260633983771e+00,-1.692973184405525089e+01,6.629957273871332823e+00
1.053583098695838999e+03,5.970427676219845381e+00,2.569929696158486099e-01,-1.299942674726069745e-02,4.671447402350616507e+00,-1.569202527960500415e-01,1.446848406747748284e+00,8.931352269463497251e-01,1.579340791054895388e-01,8.083428268653983784e-01,9.321117225250759031e-01,3.760525836487851881e-01,8.065017088353403363e-01,-2.427216799975068451e+00,1.850832904240531152e+00,-7.267141936827781201e+00,2.882314464422447209e+00,-1.278666206730894395e+01,7.687317890626796490e+00
1.054150468904166019e+03,6.825402258091923358e+00,3.786999641501536118e-01,1.364410749603048034e-01,3.057214676617380889e+00,8.177809281831046606e-01,1.349099148605353404e+00,6.934346220808902395e-01,9.427467617917096865e-01,9.640137017899347294e-01,1.514376009376810162e+00,6.297568896424708962e-01,1.096848994043843284e+00,-1.443280754933757182e+00,1.075903947106591207e+00,-6.031745164063866405e+00,1.973897574420607981e+00,-8.973583501454498901e+00,1.034755605516545351e+01
1.054718358209241387e+03,7.794323110751710360e+00,5.446343976293854805e-01,2.511116900157815746e+00,3.866988752162913823e+00,1.457758528833299705e+00,9.558538655728839872e-01,3.024231549503729188e-01,2.231253662450826403e-01,7.276580483244403652e-01,6.318017571540940347e-01,8.965393396967448192e-01,1.363164777328975008e+00,-7.731299672718195959e-01,2.325357577234899775e+00,-5.265131826303490747e+00,3.917629930881965095e+00,-6.388488242882810475e+00,1.135872004062278506e+01
1.055286767323786762e+03,8.821319640271712004e+00,7.732447260993537963e-01,6.228605845710677436e+00,3.578352279595687246e+00,1.902805429566025941e+00,1.616265788647490709e+00,1.214464698367316631e+00,1.199614335888923300e+00,9.260943918909361194e-01,4.535855109313156053e-01,5.903333973961070180e-01,1.330070495388703256e+00,-1.179074536119567140e+00,2.893220542989010990e+00,-3.904984069682205128e+00,5.020830156862142957e+00,-8.200611599301581123e+00,1.189338487969841474e+01
1.055855696961829153e+03,9.869699915205945473e+00,1.078733583987331546e+00,2.124058255296872311e+00,2.482044289050394426e+00,1.128727965914329223e+00,1.146571977214265736e+00,4.152551255049477530e-01,7.151375517513921531e-01,4.346521943714274916e-01,1.473974808534350034e+00,-4.428274932556958698e-01,1.964758015524937784e+00,-4.321750704371278284e-01,3.108533770323824719e+00,-2.733980057397005226e+00,4.772755915786110137e+00,-8.796498273094352172e+00,9.238939116081059666e+00
1.056425147838704561e+03,1.107414539795279751e+01,1.484341427217975351e+00,4.295167101830674738e-01,3.194113026919753295e+00,2.354608311324914549e+00,1.207978121120849790e+00,2.569095259708662482e+00,6.068163674406735764e-01,7.233235544591071209e-01,1.833734862943551258e+00,-1.678172664437447281e-01,2.254724794017689327e+00,-2.076039931359344504e+00,3.963605069587560870e+00,-3.941109105207848184e+00,3.598170070874910920e+00,-8.105867417400199670e+00,1.045085611617959387e+01
1.056995120671059794e+03,1.215011468844488896e+01,1.994759446246745727e+00,4.990099440361337457e+00,4.389810135374189848e+00,4.079521763513913157e+00,2.600470939870486831e+00,2.733715497986857201e+00,1.118518667327962568e+00,1.159239094153413419e+00,1.663448103784431531e+00,-1.535479158099732899e-01,1.235107567749007096e+00,-1.721350553458217691e-01,3.244819992608272141e+00,-1.705372315551793916e+00,3.428707579547594086e+00,-4.738928498576494341e+00,1.362029092062375035e+01
1.057565616176855656e+03,1.345958187838751385e+01,2.650513922422882196e+00,1.009072362887444951e+00,2.962200132274582565e+00,5.266605348602992898e+00,2.019528246200916755e+00,2.013350092465473029e+00,1.123783931779852807e+00,4.928138941399116679e-01,1.773741511064367948e+00,-5.558864144759105841e-01,2.888404455871775856e+00,6.418669032970807098e-02,2.810099056868958556e+00,-2.715553577124197204e+00,5.611206386946975933e+00,-5.609473748520865222e+00,1.333006632845948225e+01
