Fund. Intensity (a.u.),SHG Intensity (a.u.),SHG Intensity err,Quadratic Fit
1.45E+03,6.05E-02,4.05E+01,4.68E-05
3.89E+03,-1.07E+01,1.52E+01,3.39E-04
7.09E+03,-5.55E+00,5.38E+01,1.13E-03
1.34E+04,-6.94E+01,1.16E+00,4.00E-03
2.20E+04,-6.88E+01,2.87E+01,1.08E-02
3.25E+04,7.08E+00,1.21E+02,2.37E-02
4.58E+04,1.30E+02,5.75E+01,4.70E-02
5.96E+04,9.52E+01,2.02E+02,7.96E-02
7.63E+04,3.59E+01,6.43E+01,1.30E-01
9.57E+04,7.44E+00,5.99E+01,2.06E-01
1.18E+05,-2.97E+01,3.83E+01,3.13E-01
1.39E+05,-2.00E+01,3.00E+01,4.36E-01
1.60E+05,-2.30E+01,2.74E+01,5.71E-01
1.80E+05,-2.18E+01,3.66E+00,7.28E-01
2.00E+05,-1.74E+01,2.81E+01,8.99E-01
2.20E+05,4.32E+01,5.98E+01,1.08E+00
2.39E+05,6.35E+01,5.65E+01,1.28E+00
2.53E+05,6.06E+01,3.09E+02,1.44E+00
2.74E+05,3.63E+02,4.65E+02,1.69E+00
2.34E+05,-2.57E+03,0.00E+00,1.23E+00
