Energy,XFEL Harm,Fund Sq,Bin 1,Bin 1 err,Bin 3,Bin 3 err,Bin 5,Bin 5 err,Bin 7,Bin 7 err,Bin 9,Bin 9 err,Bin 11,Bin 11 err,Bin 13,Bin 13 err,Bin 15,Bin 15 err
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.753594835939803161e+06,6.753594835939803161e+06,2.794676093344407082e+08,2.794676093344407082e+08,1.748628997770395994e+09,1.748628997770395994e+09,5.447310841972017288e+09,5.447310841972017288e+09,1.258045930804904175e+10,1.258045930804904175e+10,2.391157881369504929e+10,2.391157881369504929e+10,3.666944917974598694e+10,3.666944917974598694e+10,5.414515828069654083e+10,5.414515828069654083e+10
1.065607839181729332e+03,2.122996317482050088e+00,4.381110849265944240e-02,-6.030447671742723559e-01,8.935448475403866553e-01,1.063563021814594584e-01,3.734165168261901480e-01,5.061327630500463970e-01,7.808768520680242631e-01,9.759357924820477592e-01,5.525667575567567713e-01,2.832524330511398958e-02,5.898876911838566439e-01,3.517911148633598439e-01,6.029571094636211326e-01,-2.544335169728301760e-01,6.576514069251920835e-01,1.028085688903814798e-01,2.093848180659830582e+00
1.066186261847542937e+03,2.709562586013918750e+00,4.439856053702799510e-02,-6.175110871720551620e-01,1.356994063115043003e+00,1.036791773725952437e+00,8.826538469702889245e-01,1.003197945510318823e+00,8.499279373078230115e-01,7.047049964397574806e-01,8.191995864861555399e-01,1.270445889278248863e-01,4.852855006756532918e-01,-2.919193757790366495e-01,1.032722463844985006e+00,-4.569257329456810623e-02,1.060349832882663046e+00,-7.591455603812846675e-01,6.028861656359696397e-01
1.066765218855414332e+03,3.400802771216661746e+00,6.323266308505241795e-02,-1.661348008839696189e-01,5.264659940639470070e-01,2.732349464870952094e+00,9.897886614510721381e-01,2.748476260533769810e-01,1.095688655425471225e+00,5.125815126219724904e-01,5.255195073625872348e-01,-4.774327345583110477e-02,6.764467197832072509e-01,-6.163643727292834607e-01,9.906789942027104390e-01,6.779334863483370555e-01,4.590306772850810679e-01,-1.859600737573401830e+00,5.474842694346515604e-01
1.067344710946117175e+03,4.208355982067443435e+00,8.473689447820453857e-02,1.533148960001732730e+00,5.200259260194327604e-01,1.837201404195351273e+00,9.185574477904047130e-01,-8.005310059152521696e-01,1.334177698197191564e+00,3.750186422783958196e-01,2.568815419617452855e-01,-2.427256860872007704e-01,5.085037184511336239e-01,-1.056097780719976287e+00,7.569145218760645610e-01,6.536869215261470467e-01,1.721215241200237944e-01,-1.538792547693155655e+00,2.840546893774222870e+00
1.067924738861794594e+03,5.096300130820906382e+00,1.089691780067512800e-01,1.095839171118766081e-01,1.288419180735397296e+00,4.468999717090500035e+00,1.630910217302036003e+00,4.923632146433660206e-01,9.866446087793447894e-01,-2.820839645450264402e-02,3.813831769616456979e-01,-3.845497093356857188e-01,6.524137213933099977e-01,-9.478160705136655650e-01,1.079729463720637828e+00,5.193814285900941741e-01,2.633378380249962736e-01,-1.469421519340367334e-02,4.792038832165046891e+00
1.068505303345962830e+03,6.076971867169644881e+00,1.342818694605013297e-01,-1.466978609709672199e+00,1.835077362302756976e+00,2.724853904334134214e+00,2.641550562743732566e+00,9.817949371662558766e-01,7.585752950792260529e-01,-3.378881883802440922e-01,8.235444675568377448e-01,-8.961695083683679508e-01,1.049254328139126224e+00,-1.292266706037732193e+00,1.030821972210792969e+00,2.110941547283692044e-01,4.866428806104610705e-01,3.027480839274981239e+00,5.570683651607772013e+00
1.069086405143514185e+03,7.163055352065098802e+00,1.621674978261994915e-01,-2.318787224550483916e+00,1.089160475166831565e+00,3.029944930399324221e+00,1.357976429904608873e+00,1.175592561881162235e+00,9.859894066579780736e-01,-4.939768819308249514e-01,8.881236217393200238e-01,-9.515891480818942094e-01,1.037693298668134201e+00,-1.109786275475364903e+00,5.599255492559616076e-01,1.602708955439595684e+00,1.470387585683645471e+00,3.921430164195508272e+00,4.988422688562682339e+00
1.069668045000720895e+03,8.283086657843462319e+00,1.922509325831222582e-01,-1.329468139468033792e-02,7.430383752735173486e-01,2.880361229214196239e+00,3.376694643091208814e+00,2.520054221630841251e+00,5.672154436758781726e-01,4.281122799674038498e-02,1.099498737716661179e+00,-1.238917325968926564e+00,1.135492899824474433e+00,-9.606924267848242494e-01,1.161194633766754469e+00,2.102216113264342656e+00,2.417940644728738597e+00,7.468073214587368502e-01,2.715735320799766317e+00
1.070250223665237627e+03,9.662195161758202033e+00,2.247951495912601794e-01,-1.050783354338784115e+00,3.126833174822746808e-01,3.215723800265128940e+00,2.575388755992963574e+00,3.245975984567182948e+00,5.827038437073419619e-01,1.294781333120909039e-01,1.445716697463301781e+00,-9.121209023811207572e-01,1.102663242277789779e+00,-1.424997994001987678e+00,1.686777841068268335e+00,2.264862786357594526e+00,1.918798941116532708e+00,1.275650609142909842e+00,5.886516242305420477e+00
