Energy,t0,t0 err,m,m err
5.378936373637154702e+02,9.088017730551432166e-03,3.857468897668608464e-04,-1.525678091561928325e-05,1.758780636360059367e-06
5.380873711418103085e+02,8.573952554445134905e-03,3.499050716591956315e-04,-1.483418816622803043e-05,1.740579352369809044e-06
5.382812084657546166e+02,7.915736761474114272e-03,4.049099344253659230e-04,-1.511491131404279134e-05,1.752487017796664103e-06
5.384751494185844649e+02,7.903242455725217538e-03,3.953490871198002778e-04,-1.554314022839004694e-05,1.772038247420083738e-06
5.386691940834249408e+02,7.832963019592242837e-03,3.568401535273798067e-04,-1.562967164962713600e-05,1.776188262048975042e-06
5.388633425434898072e+02,7.269339493244758935e-03,3.713869558975613802e-04,-1.453162660590680189e-05,1.728571578202179862e-06
5.390575948820822987e+02,6.599052231600899265e-03,3.506478496682674854e-04,-1.277335513554550103e-05,1.676613791042254573e-06
5.392519511825943255e+02,6.069964368901562685e-03,3.230952882761346486e-04,-1.125781380578600509e-05,1.657632697725769107e-06
5.394464115285073831e+02,5.916213992667478626e-03,3.113482040728591171e-04,-1.070318877866141163e-05,1.656873704475222411e-06
5.396409760033923249e+02,5.727240244024800128e-03,3.178524216331662391e-04,-1.062947675802362821e-05,1.657024117504520249e-06
5.398356446909094757e+02,5.501695080787751511e-03,3.036305931714764470e-04,-1.049122128983534650e-05,1.657465164909090881e-06
5.400304176748087457e+02,5.285954034080344276e-03,3.093525344904236971e-04,-9.557265795300042439e-06,1.665854706550426602e-06
5.402252950389299713e+02,4.953456751529112558e-03,3.151958098050754750e-04,-8.845483560281190298e-06,1.678506299188782873e-06
5.404202768672028014e+02,4.816956550388967750e-03,3.467257695656814011e-04,-8.044893899536490172e-06,1.699042367854530045e-06
5.406153632436468115e+02,4.712420803076352097e-03,3.422075133206126584e-04,-7.034001335070193819e-06,1.734143446060015774e-06
5.408105542523718441e+02,4.714088823829584371e-03,2.884365304569678893e-04,-6.721851550959923566e-06,1.746966147638415805e-06
5.410058499775778955e+02,4.430942457117937466e-03,3.415451150906656866e-04,-6.069978421193839127e-06,1.776628181075320407e-06
5.412012505035553431e+02,4.398732382487522373e-03,3.776720405367261146e-04,-5.355755479562114358e-06,1.813412595619249403e-06
5.413967559146850590e+02,4.392281624124362051e-03,3.779066660288265557e-04,-4.752506980032520282e-06,1.847780951490070554e-06
5.415923662954385236e+02,4.517317553331652927e-03,4.601199172624048563e-04,-4.453373163596621797e-06,1.865889383469346382e-06
5.417880817303779395e+02,4.733430513880045563e-03,3.755552896014378471e-04,-4.493998830887854719e-06,1.863389716389835890e-06
