Energy,t0,t0 err,m,m err
1.078457721740863008e+03,5.029832824333596575e-01,1.577210789583311304e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.079048073183648967e+03,4.851836368853156833e-01,1.655716712266510141e-02,2.509903194399926672e-03,3.870632164173398553e-03
1.079638975586897914e+03,4.822996564589172031e-01,2.603015715641470579e-02,4.466670197582294118e-03,7.149088855554480183e-03
1.080230429722266535e+03,4.655573403898677354e-01,1.979555184946057977e-02,5.898112816844229035e-03,9.866672047847370106e-03
1.080822436362853523e+03,4.578672430411366845e-01,2.223566205031199741e-02,6.832203166554074586e-03,1.205513041129888281e-02
1.081414996283202299e+03,4.444343758954729662e-01,2.256352981464634228e-02,7.297074424389087856e-03,1.374674994108844757e-02
1.082008110259304885e+03,4.365623623472215664e-01,2.093045595088489225e-02,7.321021591128787018e-03,1.497448149997856505e-02
1.082601779068605310e+03,4.375236050291162471e-01,2.168050138757380424e-02,6.932502254017127753e-03,1.577212360832931301e-02
1.083196003490002113e+03,4.400483361824693573e-01,2.130457573989327433e-02,6.160137353714307401e-03,1.617458949893225278e-02
1.083790784303853570e+03,4.461994879019555160e-01,1.942689070101986243e-02,5.032711954851670430e-03,1.621830518992183404e-02
1.084386122291978609e+03,4.564783320953793022e-01,2.002626006121034294e-02,3.579176020215687083e-03,1.594181508543988587e-02
1.084982018237662942e+03,4.631847928376057189e-01,1.845695781113798964e-02,1.828645188564798378e-03,1.538672157480665964e-02
1.085578472925660435e+03,4.666821252231662664e-01,1.824550622639685427e-02,-1.895984438850542792e-04,1.459916723452915448e-02
1.086175487142197198e+03,4.705675224153154090e-01,1.754619809937952440e-02,-2.446105538302492492e-03,1.363219357530842842e-02
1.086773061674976134e+03,4.812469549194703378e-01,1.640264138874251987e-02,-4.911258724390866678e-03,1.254945958609559112e-02
1.087371197313177845e+03,4.908229425821580838e-01,1.486680353122573489e-02,-7.555271807809698162e-03,1.143080658484745167e-02
1.087969894847466776e+03,5.052290625508280009e-01,1.412896668357134337e-02,-1.034818897388464949e-02,1.037931152004620099e-02
1.088569155069993485e+03,5.176374523043805187e-01,1.246293315426714489e-02,-1.325988398755149206e-02,9.525841854700602129e-03
1.089168978774398056e+03,5.287837162169528593e-01,1.164002908635217853e-02,-1.626005938953487689e-02,9.018650608983314748e-03
1.089769366755813508e+03,5.367508784812207168e-01,1.066667071891330698e-02,-1.931824568873908091e-02,8.981159721010309460e-03
1.090370319810870114e+03,5.399352370590605465e-01,8.694053837311914446e-03,-2.240380055083694352e-02,9.450953016917673644e-03
1.090971838737697908e+03,5.417774658182301639e-01,7.110544785124342168e-03,-2.548590798302398375e-02,1.036049550307606253e-02
1.091573924335931224e+03,5.512716038748546321e-01,1.165621042271818182e-02,-2.853357751493848168e-02,1.158262640022231053e-02
1.092176577406711431e+03,5.665175002478414212e-01,1.476979821212683931e-02,-3.151564337570860602e-02,1.298593396561999874e-02
1.092779798752690795e+03,5.753965500670664701e-01,1.617963473285805379e-02,-3.440076366712286476e-02,1.446002661592139110e-02
1.093383589178035891e+03,5.766598395577595682e-01,1.719877281458079277e-02,-3.715741953289632138e-02,1.591756946378004856e-02
1.093987949488431695e+03,5.792638858528955659e-01,2.052595278746304625e-02,-3.975391432401870900e-02,1.728879116499378032e-02
1.094592880491084316e+03,5.714161876365372317e-01,1.976538490320983027e-02,-4.215837276015567403e-02,1.851584909358265640e-02
1.095198382994725534e+03,5.856361047923099861e-01,2.249805808261647055e-02,-4.433874008709782349e-02,1.954878132468287552e-02
