Fund. Intensity (a.u.),SHG Intensity (a.u.),SHG Intensity err,Quadratic Fit
4.56E+03,3.43E+01,1.03E+02,3.92E-02
2.64E+04,-3.58E+01,4.47E+01,1.31E+00
4.91E+04,-1.50E+01,3.28E+01,4.55E+00
9.01E+04,-6.32E+01,2.76E+01,1.53E+01
1.50E+05,-2.34E+01,9.67E+01,4.23E+01
2.10E+05,1.06E+02,9.19E+01,8.28E+01
2.59E+05,1.42E+02,7.11E+01,1.27E+02
3.07E+05,1.36E+02,9.01E+01,1.78E+02
3.41E+05,2.11E+02,1.11E+02,2.19E+02
3.72E+05,1.04E+02,8.78E+01,2.60E+02
3.97E+05,1.55E+02,7.43E+01,2.97E+02
4.25E+05,2.39E+02,1.65E+02,3.41E+02
4.52E+05,3.59E+02,1.52E+02,3.85E+02
4.77E+05,3.85E+02,1.31E+02,4.29E+02
5.00E+05,6.02E+02,1.38E+02,4.72E+02
5.26E+05,7.04E+02,1.81E+02,5.22E+02
5.52E+05,1.18E+03,2.25E+02,5.75E+02
5.48E+05,1.06E+03,3.37E+02,5.66E+02
5.79E+05,1.26E+03,6.79E+02,6.33E+02
nan,nan,nan,nan
