Energy,XFEL Harm,Fund Sq,Bin 1,Bin 1 err,Bin 3,Bin 3 err,Bin 5,Bin 5 err,Bin 7,Bin 7 err,Bin 9,Bin 9 err,Bin 11,Bin 11 err,Bin 13,Bin 13 err,Bin 15,Bin 15 err
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.076125608461090922e+07,2.076125608461090922e+07,2.411362791583058357e+09,2.411362791583058357e+09,2.243038054388457108e+10,2.243038054388457108e+10,6.712864160503096008e+10,6.712864160503096008e+10,1.160948565589525604e+11,1.160948565589525604e+11,1.573428024852274780e+11,1.573428024852274780e+11,2.043273300995833435e+11,2.043273300995833435e+11,2.501864057703145142e+11,2.501864057703145142e+11
1.084982018237662942e+03,2.193634765468828185e+00,3.178642316052275596e-02,1.694718509416697882e+00,4.210810051824327438e+00,-7.999391622122953294e-01,3.936176991083976673e-01,3.422100467175768768e-01,4.501923570090433646e-01,1.757477251080355574e+00,4.046636910361233186e-01,1.169500322371583856e+00,7.569491918640367523e-01,5.372262302007809742e-01,1.191694886599281578e+00,2.596806301279119822e+00,1.567221577321146642e+00,3.027259903484046166e+00,2.229349751000041735e+00
1.085578472925660435e+03,2.767808710717552412e+00,3.178642316052275596e-02,5.023373526895983376e-01,1.668767093770599397e+00,-1.070573204811516632e+00,4.689193755378736617e-01,1.095161469560322010e+00,6.584161718552382636e-01,1.603748961828648456e+00,1.168694239788669265e+00,8.573996161422000606e-01,3.090292037347091569e-01,-2.188915819678118879e-01,9.596303329258832893e-01,5.540251751195022223e-01,2.682895382996826505e+00,2.721273957659422482e+00,1.525907592096239940e+00
1.086175487142197198e+03,3.335549710268286727e+00,3.178642316052275596e-02,1.553762282149526941e+00,3.615982108803944772e+00,1.248014619922088064e+00,4.146636206861823437e-01,4.315370361568164337e-01,1.442955519274400800e+00,2.533575804532731457e+00,4.584293927772515320e-01,2.063816658660912184e-01,6.313637293156409980e-01,-1.068816248574841810e+00,1.032626222177083886e+00,-2.520015161048393959e-01,2.095593240558554893e+00,3.409199048536223131e+00,1.518561601828001706e+00
1.086773061674976134e+03,4.044444791081193813e+00,4.149890472429740296e-02,5.115643593293351721e+00,5.442602708413559753e+00,9.395602133224739694e-01,4.050583610133599577e-01,1.446421620232730243e+00,3.189663348686245237e-01,1.573084504985778231e+00,1.147210704770932566e+00,-1.726806366951141314e-01,1.013441972061805307e+00,-2.500285582330446399e+00,1.945068416610993278e+00,2.145039233792724875e+00,1.073092752273333561e+00,2.667430469050250164e+00,1.660312563432209565e+00
1.087371197313177845e+03,4.808194680256764997e+00,5.877640202898201660e-02,1.611540104496667958e+00,1.047875082205082853e+00,2.074022049130371581e+00,1.115050960920161094e+00,1.798562818511547645e+00,8.576296356149325506e-01,1.090782113576297813e-01,4.549049450429075159e-01,-9.563764193192998420e-01,4.316657390694636498e-01,-3.371467260883201700e+00,2.928317866592980767e+00,5.293332714772489567e-01,6.195331474149029516e-01,2.794013892747865047e+00,2.615824632014321693e+00
1.087969894847466776e+03,5.590517846514696743e+00,8.273773612641435737e-02,-2.563343405770590611e+00,4.350135855473436841e+00,3.624904252232735047e+00,1.135218901744807107e+00,2.730062748140856144e+00,1.341039769054812814e+00,-2.831490075934140482e-01,1.372279452989728921e-01,-1.754022692000728467e+00,1.622402854370168734e+00,-3.262600198345801061e+00,2.540896396840066185e+00,2.232716486236031361e+00,4.359553977651038359e-01,3.582718687732063589e+00,9.114830587179140187e-01
1.088569155069993485e+03,6.459768751278370580e+00,1.163167276360937696e-01,-2.852850231358095456e+00,4.295182924114350875e+00,4.132148838016624914e+00,2.140468657160563282e-01,3.012710938568505359e+00,1.689671662732930901e+00,-3.065226347503933191e-01,6.622902385141616888e-01,-2.446845227453242178e+00,1.111374209055163931e+00,-2.038012654892639830e+00,7.654414906335466062e-01,1.308677379939211960e+00,1.557219845721690366e+00,3.231702947656415859e+00,1.209274879278812831e+00
1.089168978774398056e+03,7.365823731758673887e+00,1.628669877634694174e-01,-2.585736590267338819e+00,1.895338177746384245e+00,6.547941147141554730e+00,4.618184036838995365e-01,2.558092925018575770e+00,1.431365153367603060e+00,-8.434941448315251833e-01,3.851472126448166611e-01,-2.995915399863825268e+00,1.261896816284302947e+00,-9.047139566945906486e-01,7.035471365428035417e-01,5.389048916823209190e+00,7.017757495639265208e-02,3.361365200009203136e+00,1.184582314376221079e+00
1.089769366755813508e+03,8.310170980387912465e+00,2.281346616563781904e-01,3.894308272514606983e+00,1.823804268529773509e+00,6.079781242691694843e+00,1.528948011896578807e+00,2.628039549397711117e+00,1.636563922256539350e+00,-9.214069647379670158e-01,5.114875663129057060e-01,-3.275643574349421439e+00,1.312108002136231244e+00,-1.935805214455510681e+00,1.916002404203849263e+00,5.417787403879941621e+00,1.072927050543520666e+00,6.365807764110854805e+00,2.645328956544933163e+00
1.090370319810870114e+03,9.344590060905780149e+00,3.178096912121808892e-01,5.706522106923485715e+00,9.152031667778517843e+00,5.638334187359333782e+00,1.741077960995577323e+00,4.240602880482165382e+00,1.215992893400989372e+00,-2.601121777683162439e-01,1.812124620678848386e+00,-3.046154533567560829e+00,8.072788525670593351e-01,-2.576940730935864399e-01,1.952918224056749530e+00,5.158389389155952465e+00,2.819694196341773207e+00,1.162686687616398196e+01,4.014136399555836121e+00
1.090971838737697908e+03,1.038221678750874588e+01,4.411414323512943270e-01,-2.746552962187906122e+00,2.589048237452725498e+00,1.190403578546674446e+01,3.503142683340727093e+00,2.499104982172520639e+00,2.226826059162943405e+00,-1.538588485762768299e+00,1.318401294589076844e+00,-3.247727109568965265e+00,1.155843807273009505e+00,-4.154321523202450517e-01,1.448450823985743430e+00,7.837485580933384988e+00,2.415465628717467172e+00,9.848963118803609973e+00,9.254729511076121184e+00
1.091573924335931224e+03,1.152048804407531257e+01,6.150178102948274939e-01,2.508443215722399700e+00,3.125154775697971399e+00,1.585927816065788498e+01,1.771171804303548925e+00,2.507970415107879436e+00,1.839852156544830919e+00,-2.196448390350256741e+00,1.524242527417693616e+00,-3.881095682251574086e+00,2.192114362170542563e+00,-2.944887854622185164e-01,9.819173438182173808e-01,7.222308838949008880e+00,2.320981547261985245e+00,1.160775773708902214e+01,8.102368866040851714e+00
