Energy,Raw Data,Energy,Sat Corr,Energy,Scatter Peak
540.42,781.282,540.42,781.282,526.654,3786.76
540.615,885.857,540.615,885.857,526.87,3602.94
540.811,1004.29,540.811,1004.29,527.086,3657.3
541.006,1138.61,541.006,1138.61,527.302,3713.85
541.201,1291.46,541.201,1291.46,527.518,3653.86
541.397,1466.15,541.397,1466.15,527.735,3628.34
541.592,1667.1,541.592,1667.1,527.951,3633.8
541.788,1893.28,541.788,1893.28,528.168,3633.16
541.984,2141.82,541.984,2141.82,528.384,3620.52
542.18,2420.2,542.18,2420.2,528.601,3550.7
542.376,2729.5,542.376,2729.5,528.818,3649.11
542.572,3063.62,542.572,3063.62,529.035,3796.65
542.768,3414.16,542.768,3414.16,529.253,3705.95
542.965,3769.03,542.965,3769.03,529.47,3648.74
543.161,4127.55,543.161,4127.55,529.688,3571.02
543.358,4479.13,543.358,4479.13,529.905,3656.75
543.554,4861.91,543.554,4861.91,530.123,3455.76
543.751,5264.96,543.751,5264.96,530.341,3296.1
543.948,5694.63,543.948,5694.63,530.559,3154.41
544.145,6134.64,544.145,6134.64,530.778,3233.76
544.342,6637.81,544.342,6637.81,530.996,3277.78
544.539,7217.58,544.539,7217.58,531.214,3074.68
544.736,7862.57,544.736,7862.57,531.433,3018.2
544.934,8552.86,544.934,8552.86,531.652,2927.01
545.131,9257.49,545.131,9257.49,531.871,2789.23
545.329,9981.34,545.329,9981.34,532.09,2761.9
545.527,10704.6,545.527,10704.6,532.309,2718.15
545.725,11399.5,545.725,11399.5,532.528,2602.48
545.923,12032.4,545.923,12032.4,532.748,2390.92
546.121,12600.6,546.121,12600.6,532.967,2298.31
546.319,13096,546.319,13096,533.187,2208.86
546.517,13519.5,546.517,13519.5,533.407,1998.72
546.715,13930.1,546.715,13930.1,533.627,1809.05
546.914,14295.6,546.914,14295.6,533.847,1611.76
547.112,14628,547.112,14628,534.068,1424.81
547.311,14941.6,547.311,14941.6,534.288,1230.86
547.51,15266.2,547.51,15266.2,534.509,1145.79
547.709,15698.6,547.709,15698.6,534.729,987.173
547.908,16202.2,547.908,16202.2,534.95,688.453
548.107,16759.5,548.107,16759.5,535.171,544.791
548.306,17331.3,548.306,17331.3,535.392,397.389
548.506,17894.4,548.506,17894.4,535.614,149.518
548.705,18478.3,548.705,18478.3,535.835,-7.7099
548.905,19070.2,548.905,19070.2,536.057,-51.7762
549.104,19613.8,549.104,19613.8,536.278,-252.197
549.304,20091.6,549.304,20091.6,536.5,-330.217
549.504,20499.5,549.504,20499.5,536.722,-384.901
549.704,20834.6,549.704,20834.6,536.944,-438.493
549.904,21130.1,549.904,21130.1,537.167,-414.815
550.104,21432,550.104,21432,537.389,-485.657
550.304,21716.8,550.304,21716.8,537.611,-566.939
550.505,21927.6,550.505,21927.6,537.834,-711.979
550.705,22058.2,550.705,22058.2,538.057,-746.889
550.906,22143.6,550.906,22143.6,538.28,-746.984
551.107,22160.1,551.107,22160.1,538.503,-767.345
551.308,21968.5,551.308,21968.5,538.726,-619.766
551.509,21676.1,551.509,21676.1,538.95,-563.459
551.71,21281.1,551.71,21281.1,539.173,-538.703
551.911,20752.1,551.911,20752.1,539.397,-629.469
552.112,20121.7,552.112,20121.7,539.621,-380.056
552.314,19345,552.314,19345,539.845,-200.829
552.515,18530.5,552.515,18530.5,540.069,-5.94943
552.717,17640.6,552.717,17640.6,540.293,41.3922
552.918,16588,552.918,16588,540.517,136.28
553.12,15539.1,553.12,15539.1,540.742,130.303
553.322,14320.5,553.322,14320.5,540.966,420.439
553.524,13054.3,553.524,13054.3,541.191,488.66
553.727,11827.6,553.727,11827.6,541.416,721.056
553.929,10563.1,553.929,10563.1,541.641,1110.38
554.131,9306.19,554.131,9306.19,541.867,1359.97
554.334,8078.34,554.334,8078.34,542.092,1625.53
554.536,6902.95,554.536,6902.95,542.317,1992.62
554.739,5787.87,554.739,5787.87,542.543,2325.12
554.942,4759.57,554.942,4759.57,542.769,2776.26
555.145,3838.67,555.145,3838.67,542.995,3312.02
555.348,3050.66,555.348,3050.66,543.221,3793.99
555.551,2410.79,555.551,2410.79,543.447,4092.87
555.754,1893.02,555.754,1893.02,543.674,4451.04
555.958,1485.85,555.958,1485.85,543.9,5096.94
556.161,1169.96,556.161,1169.96,544.127,5687.41
556.365,931.126,556.365,931.126,544.354,6165.7
556.569,752.868,556.569,752.868,544.581,6850.19
,,,,544.808,7498.51
,,,,545.035,8228.32
,,,,545.262,9088.69
,,,,545.49,9893.44
,,,,545.718,10572.4
