Energy,raw,Energy,sat corr,Energy,scatter peak
540.42,6134.87,540.42,6134.87,526.654,19874.7
540.615,5754.29,540.615,5754.29,526.87,25979.4
540.811,6237.19,540.811,6237.19,527.086,15179.4
541.006,6454.82,541.006,6454.82,527.302,-1020.6
541.201,7284.53,541.201,7284.53,527.518,-32070.6
541.397,7410.2,541.397,7410.2,527.735,-16950.6
541.592,8099.59,541.592,8099.59,527.951,26249.4
541.788,9096.4,541.788,9096.4,528.168,14909.4
541.984,9705.37,541.984,9705.37,528.384,-7230.6
542.18,12534.8,542.18,12534.8,528.601,3299.4
542.376,15802.3,542.376,15802.3,528.818,869.4
542.572,17635.2,542.572,17635.2,529.035,-3180.6
542.768,19051.7,542.768,19051.7,529.253,15449.4
542.965,21748.6,542.965,21748.6,529.47,32459.4
543.161,23242.3,543.161,23242.3,529.688,23819.4
543.358,21200.4,543.358,21200.4,529.905,12479.4
543.554,20440.7,543.554,20440.7,530.123,11669.4
543.751,21297,543.751,21297,530.341,9779.4
543.948,22005.2,543.948,22005.2,530.559,4919.4
544.145,19632,544.145,19632,530.778,10589.4
544.342,20171.4,544.342,20171.4,530.996,20579.4
544.539,25094,544.539,25094,531.214,-750.6
544.736,26812.4,544.736,26812.4,531.433,-9390.6
544.934,23652.2,544.934,23652.2,531.652,15719.4
545.131,22892.9,545.131,22892.9,531.871,18689.4
545.329,23043.2,545.329,23043.2,532.09,11939.4
545.527,23085.4,545.527,23085.4,532.309,8159.4
545.725,27077.8,545.725,27077.8,532.528,5459.4
545.923,29382,545.923,29382,532.748,-11550.6
546.121,32975.2,546.121,32975.2,532.967,-19650.6
546.319,40955.1,546.319,40955.1,533.187,-19650.6
546.517,43236.8,546.517,43236.8,533.407,-47460.6
546.715,43317.2,546.715,43317.2,533.627,-60690.6
546.914,45061,546.914,45061,533.847,-39630.6
547.112,52981.4,547.112,52981.4,534.068,-19110.6
547.311,55461.2,547.311,55461.2,534.288,-9120.6
547.51,51745.5,547.51,51745.5,534.509,-11280.6
547.709,58660.5,547.709,58660.5,534.729,-30180.6
547.908,62289.9,547.908,67392.1,534.95,-43950.6
548.107,62270.6,548.107,63541.2,535.171,-35580.6
548.306,57293.2,548.306,57293.2,535.392,-16680.6
548.506,55616.5,548.506,55616.5,535.614,10049.4
548.705,62103.8,548.705,72068.7,535.835,24089.4
548.905,62394.9,548.905,74911.4,536.057,-4260.6
549.104,62458,549.104,79495.2,536.278,-21810.6
549.304,62424.8,549.304,78878.3,536.5,-6420.6
549.504,62440,549.504,73422.9,536.722,11669.4
549.704,62441.9,549.704,63883.8,536.944,22199.4
549.904,58241.6,549.904,58241.6,537.167,13019.4
550.104,62411.8,550.104,96532.3,537.389,-15330.6
550.304,62459.9,550.304,102112,537.611,-29370.6
550.505,62448.2,550.505,78544,537.834,-18570.6
550.705,62427.2,550.705,74339.4,538.057,-2910.6
550.906,53434.5,550.906,53434.5,538.28,9239.4
551.107,22560.6,551.107,22560.6,538.503,13559.4
551.308,8011.44,551.308,8011.44,538.726,10319.4
551.509,7692.56,551.509,7692.56,538.95,8429.4
551.71,16954.5,551.71,16954.5,539.173,-6150.6
551.911,35826.6,551.911,35826.6,539.397,-10740.6
552.112,58241.3,552.112,58241.3,539.621,-12090.6
