Energy,sat corr,Energy,raw,Energy,scatter peak
540.42,939.855,540.42,939.855,526.654,7371.39
540.615,1055.92,540.615,1055.92,526.87,7319.72
540.811,1186.98,540.811,1186.98,527.086,7420.4
541.006,1336.74,541.006,1336.74,527.302,7565.35
541.201,1509.66,541.201,1509.66,527.518,7476.8
541.397,1708.05,541.397,1708.05,527.735,7667.42
541.592,1935.8,541.592,1935.8,527.951,7651.69
541.788,2202.21,541.788,2202.21,528.168,7806.44
541.984,2507.41,541.984,2507.41,528.384,7935.34
542.18,2861.62,542.18,2861.62,528.601,7921.05
542.376,3252.31,542.376,3252.31,528.818,7951.95
542.572,3674.02,542.572,3674.02,529.035,7868.29
542.768,4131.88,542.768,4131.88,529.253,8008.38
542.965,4620.34,542.965,4620.34,529.47,7983.17
543.161,5136.46,543.161,5136.46,529.688,7825.47
543.358,5673.47,543.358,5673.47,529.905,7712.92
543.554,6239.39,543.554,6239.39,530.123,7492.57
543.751,6826.91,543.751,6826.91,530.341,7520.19
543.948,7466.94,543.948,7466.94,530.559,7276.91
544.145,8145.82,544.145,8145.82,530.778,7059.22
544.342,8906.79,544.342,8906.79,530.996,7118.74
544.539,9769.18,544.539,9769.18,531.214,7018.29
544.736,10740.7,544.736,10740.7,531.433,6882.45
544.934,11822,544.934,11822,531.652,6715.47
545.131,13010.1,545.131,13009.9,531.871,6446.84
545.329,14290,545.329,14289.9,532.09,6336.1
545.527,15618.2,545.527,15617.8,532.309,6101.06
545.725,17033.8,545.725,17030.6,532.528,5973.12
545.923,18512.5,545.923,18503.3,532.748,5726.75
546.121,20018.2,546.121,20005.3,532.967,5558.27
546.319,21555.9,546.319,21534,533.187,5362.47
546.517,23068.8,546.517,23032.3,533.407,4966.47
546.715,24574.9,546.715,24505.4,533.627,4488.04
546.914,26002.8,546.914,25893,533.847,4084.83
547.112,27409.2,547.112,27224.9,534.068,3719.11
547.311,28765.6,547.311,28475.5,534.288,3181.15
547.51,29993.5,547.51,29586.9,534.509,2686.18
547.709,31195.8,547.709,30616.4,534.729,2173.68
547.908,32390,547.908,31607,534.95,1569.35
548.107,33610.8,548.107,32560.9,535.171,1167.95
548.306,34827.2,548.306,33476.6,535.392,721.646
548.506,36124.7,548.506,34387.7,535.614,404.81
548.705,37508.1,548.705,35268.9,535.835,70.492
548.905,38915.2,548.905,36156.4,536.057,-391.227
549.104,40282.5,549.104,37005.9,536.278,-669.009
