Energy,4 um,4 um,4 um,6 um,6 um,6 um,12.5 um,12.5 um,12.5 um
Energy,Fundamental,Raw,2nd Order Harmonic,Fundamental,Raw,2nd Order Harmonic,Fundamental,Raw,2nd Order Harmonic
514.8576,21.63512,34.36401,12.72888,-3.62319,2.65008,6.27327,-0.72362,0.11853,0.84215
515.03932,22.4794,35.57681,13.09741,-3.72393,2.75715,6.48108,-0.76979,0.10249,0.87228
515.22114,23.67797,37.21018,13.53222,-3.6832,3.02177,6.70497,-0.71847,0.19479,0.91326
515.40304,24.63046,38.67659,14.04612,-3.4964,3.4953,6.99169,-0.78275,0.18074,0.96349
515.58504,25.52917,40.24474,14.71557,-3.49407,3.73799,7.23206,-0.76842,0.26313,1.03155
515.76714,27.07378,42.4559,15.38212,-3.29522,4.16636,7.46158,-0.75425,0.34631,1.10055
515.94933,28.34099,44.37897,16.03798,-2.92844,4.83837,7.76682,-0.78164,0.37202,1.15366
516.13161,29.98201,46.76752,16.78551,-2.95006,5.15838,8.10844,-0.72376,0.48508,1.20884
516.31399,32.18252,49.72042,17.5379,-2.65799,5.81589,8.47389,-0.64375,0.61858,1.26233
516.49645,34.19857,52.48992,18.29135,-2.65933,6.20464,8.86397,-0.61637,0.69187,1.30825
516.67902,36.65341,55.8115,19.15809,-2.50312,6.86469,9.3678,-0.59885,0.8094,1.40824
516.86168,39.58711,59.73968,20.15257,-2.50366,7.40238,9.90603,-0.6578,0.85555,1.51335
517.04443,42.5822,63.87652,21.29432,-2.17061,8.11476,10.28537,-0.57083,1.00309,1.57392
517.22727,45.77227,68.1668,22.39454,-2.06946,8.70725,10.77671,-0.50057,1.17726,1.67783
517.41021,48.60642,72.23989,23.63346,-1.82963,9.50415,11.33378,-0.52775,1.25961,1.78737
517.59325,52.37661,77.42036,25.04375,-1.81527,10.1003,11.91557,-0.48818,1.37665,1.86483
517.77638,56.42268,82.77106,26.34838,-1.84934,10.78117,12.63051,-0.40011,1.55864,1.95875
517.9596,61.01653,88.74742,27.73089,-1.79384,11.6056,13.39944,-0.4293,1.63402,2.06332
518.14292,66.16307,95.37935,29.21628,-1.43055,12.61461,14.04516,-0.37505,1.80829,2.18334
518.32633,71.10069,102.0307,30.93001,-1.04967,13.65016,14.69983,-0.39905,1.93478,2.33382
518.50983,76.26234,108.84002,32.57767,-0.79198,14.60015,15.39213,-0.38454,2.10829,2.49283
518.69344,81.76431,115.89116,34.12684,-0.60809,15.68027,16.28836,-0.46598,2.17673,2.64271
518.87713,87.82967,123.71703,35.88737,-0.39702,16.76623,17.16326,-0.42173,2.36426,2.786
519.06092,94.5445,132.23936,37.69486,-0.31258,17.70369,18.01627,-0.40192,2.51314,2.91506
519.24481,101.31546,140.86113,39.54567,-0.0739,18.73321,18.8071,-0.22997,2.77397,3.00394
519.42879,108.34162,149.67047,41.32885,-0.10159,19.57632,19.67792,-0.38784,2.76791,3.15574
519.61287,116.14743,159.33398,43.18655,0.42913,21.01015,20.58102,-0.38647,2.9395,3.32597
519.79704,124.19545,169.3404,45.14495,0.51737,21.90897,21.39161,-0.34404,3.13306,3.4771
519.9813,132.54607,179.58712,47.04106,0.94337,23.13025,22.18689,-0.30606,3.33164,3.6377
520.16567,140.53086,189.4696,48.93874,1.04621,24.03137,22.98515,-0.50456,3.29807,3.80263
520.35012,149.95447,200.79831,50.84383,1.48121,25.34564,23.86444,-0.38652,3.58347,3.96999
