Filter Thickness (um),Log Fund Intensity,Log Harm Intensity,Filter Thickness (um),Best Fit (Fund),Filter Thickness (um),Best Fit (Harm)
12.5,--,4.26233,4.2,6.10665,4.2,5.38938
10,1.83088,4.65542,4.21161,6.09853,4.20831,5.38831
8,3.79634,4.98737,4.21742,6.09447,4.21662,5.38725
7,4.02309,5.00881,4.22322,6.09041,4.22492,5.38618
6,4.54653,5.10961,4.22903,6.08635,4.23323,5.38512
4.2,6.11756,5.37644,4.23483,6.08229,4.24154,5.38405
4.4,5.97507,5.34695,4.24645,6.07417,4.24985,5.38299
,,,4.25806,6.06605,4.25816,5.38192
,,,4.26386,6.06199,4.26647,5.38086
,,,4.26967,6.05793,4.27477,5.37979
,,,4.27548,6.05387,4.28308,5.37873
,,,4.28128,6.04981,4.29139,5.37766
,,,4.28709,6.04575,4.2997,5.37659
,,,4.29289,6.04169,4.30801,5.37553
,,,4.2987,6.03763,4.31632,5.37446
,,,4.3045,6.03357,4.32462,5.3734
,,,4.31031,6.02951,4.33293,5.37233
,,,4.31612,6.02545,4.34124,5.37127
,,,4.32192,6.02139,4.34955,5.3702
,,,4.32773,6.01733,4.35786,5.36914
,,,4.33353,6.01327,4.36617,5.36807
,,,4.33934,6.0092,4.37447,5.367
,,,4.34515,6.00514,4.38278,5.36594
,,,4.35095,6.00108,4.39109,5.36487
,,,4.35676,5.99702,4.3994,5.36381
,,,4.36256,5.99296,4.4,5.36373
,,,4.36837,5.9889,4.40771,5.36274
,,,4.37417,5.98484,4.41602,5.36168
,,,4.37998,5.98078,4.42432,5.36061
,,,4.38579,5.97672,4.43263,5.35955
,,,4.39159,5.97266,4.44094,5.35848
,,,4.3974,5.9686,4.44925,5.35741
,,,4.4,5.96678,4.45756,5.35635
,,,4.4032,5.96454,4.46587,5.35528
,,,4.40901,5.96048,4.47417,5.35422
,,,4.41481,5.95642,4.48248,5.35315
,,,4.42062,5.95236,4.49079,5.35209
,,,4.42643,5.9483,4.4991,5.35102
,,,4.43223,5.94424,4.50741,5.34996
,,,4.43804,5.94018,4.51572,5.34889
,,,4.44384,5.93612,4.52402,5.34782
,,,4.44965,5.93206,4.53233,5.34676
,,,4.45546,5.928,4.54064,5.34569
,,,4.46126,5.92394,4.54895,5.34463
,,,4.46707,5.91988,4.55726,5.34356
