Knife Pos. (Vert),Fund Intensity,Harm Intensity,Knife Pos. (Horiz.),Fund Intensity,Harm Intensity
70.8221,0.00431,0.02534,67.02215,0.0028,0.01238
70.8221,0.00427,0.02372,67.02215,0.00245,0.01671
70.82213,0.00467,0.02935,67.02183,0.00262,0.01431
70.82513,0.00411,0.02588,67.02455,0.0027,0.01602
70.82661,0.00487,0.02872,67.02572,0.00267,0.01624
70.82795,0.00522,0.03001,67.02963,0.00288,0.01545
70.83066,0.0047,0.02606,67.03055,0.00311,0.01394
70.83219,0.00455,0.02551,67.03276,0.00237,0.00604
70.83568,0.00491,0.02973,67.03385,0.00699,0.02192
70.83663,0.00484,0.02988,67.03613,0.01078,0.02466
70.8381,0.00415,0.02499,67.03865,0.01161,0.02134
70.83991,0.00561,0.02995,67.0397,0.01805,0.02543
70.8424,0.00454,0.02955,67.04215,0.01614,0.02345
70.84471,0.00837,0.04229,67.04284,0.02884,0.03504
70.84645,0.00946,0.03761,67.04616,0.04806,0.04337
70.84898,0.00705,0.03699,67.0488,0.03864,0.04582
70.85022,0.01797,0.04917,67.04991,0.04368,0.04295
70.8528,0.02504,0.06032,67.05226,0.05411,0.0536
70.85434,0.02902,0.06355,67.05279,0.1129,0.09173
70.8566,0.03129,0.06875,67.05603,0.12634,0.09454
70.85857,0.06655,0.09866,67.05685,0.17157,0.12285
70.8606,0.13332,0.15387,67.05997,0.24868,0.16068
70.86278,0.24374,0.21314,67.06105,0.4155,0.22394
70.86415,0.27315,0.25587,67.06284,0.58537,0.30351
70.86675,0.45721,0.36326,67.06465,0.64166,0.32042
70.86785,0.6651,0.45843,67.06652,0.69344,0.4179
70.86892,0.84094,0.62041,67.07026,0.80102,0.49563
70.87258,0.78853,0.60908,67.07105,0.86684,0.62099
70.87394,0.75887,0.59404,67.07305,0.85347,0.64068
70.87672,1,0.73817,67.0748,0.93417,0.7011
70.87772,0.92933,0.81275,67.07665,0.86321,0.6446
70.881,0.87876,0.74883,67.0797,0.88783,0.74175
70.88262,0.90471,0.79347,67.08043,0.82718,0.81829
70.88404,0.86521,0.73659,67.08275,0.9262,0.80581
70.88668,0.90237,0.76722,67.08345,0.87855,0.84677
70.88762,0.87574,0.79466,67.08653,0.83945,0.81384
70.88895,0.80691,0.87453,67.08736,0.90847,0.80312
70.89046,0.86001,0.81921,67.0905,0.866,0.89537
70.89385,0.84718,0.91789,67.09135,1,0.8709
70.89618,0.70743,0.72383,67.09331,0.93001,0.88785
70.89734,0.73678,0.70302,67.09699,0.84927,0.98944
70.90076,0.84902,0.86229,67.09772,0.84043,0.87637
70.90213,0.90604,0.82366,67.10071,0.94465,0.88684
70.9042,0.86662,0.8774,67.1016,0.86106,0.89177
70.90592,0.90973,0.95653,67.10353,0.90646,0.8442
70.90745,0.96911,1,67.10555,0.91391,0.89541
70.91037,0.92772,0.93349,67.10698,0.93606,0.9512
70.91181,0.93132,0.9826,67.11,0.89231,0.90402
70.91425,0.6421,0.7169,67.11046,0.99771,0.99809
70.91562,0.81494,0.84752,67.11285,0.97647,1
