Fraction of Beam Unblocked (vertical),Center of Mass (eV),Fraction of Beam Unblocked (horizontal),Center of Mass (eV)
0.00581,598.56271,0.00618,595.72075
0.00552,598.29203,0.00593,595.56353
0.00589,599.08204,0.00636,595.61428
0.00537,598.01275,0.01154,596.21879
0.00371,597.68526,0.01867,596.51423
0.00844,600.39435,0.02198,596.66395
0.00435,597.82192,0.00558,595.64684
0.01122,600.51015,0.03035,597.22588
0.01023,600.344,0.01018,596.23396
0.02218,601.79321,0.04022,597.16531
0.01141,600.56617,0.02835,597.07733
0.01785,601.33623,0.06058,597.71203
0.02845,601.16948,0.02224,596.51968
0.0072,599.2984,0.04315,597.02782
0.02455,600.49517,0.06724,597.44502
0.02405,600.05883,0.07239,596.77686
0.05722,600.47197,0.01126,596.59899
0.06916,600.38771,7.29E-04,596.44723
0.06345,599.76089,0.09435,596.68187
0.07074,599.57767,0.12587,596.6736
0.08752,599.26679,0.14465,595.50654
0.10038,598.81591,0.17097,595.51416
0.14411,598.34241,0.20759,595.07537
0.19633,597.93012,0.25987,594.93158
0.18488,597.647,0.33709,595.19019
0.23368,597.23679,0.46347,594.44543
0.36517,596.90125,0.3952,594.72829
0.35435,596.45333,0.55041,594.41852
0.50743,595.83016,0.47708,594.41092
0.39642,595.91422,0.65615,594.09697
0.60826,595.59819,0.77483,594.13043
0.67489,595.97608,0.66988,594.51266
0.68946,595.17152,0.65179,594.3179
0.82343,595.06536,0.6851,594.49734
0.85354,595.00807,0.9189,594.01493
0.81741,594.77292,0.80886,594.42945
0.78688,594.54547,0.80287,593.98457
0.80766,594.94959,0.7435,594.17131
0.83106,594.29817,0.81253,594.15517
0.94151,594.25847,0.84174,593.89498
-4.19E-05,596.37327,0.87281,594.28555
0.97709,594.34879,0.81992,594.20027
0.96462,594.21275,0.85443,593.99949
0.84029,594.61258,0.98526,594.00597
0.89527,594.24808,0.8999,594.1702
0.99665,594.11666,0.88839,593.86792
0.9992,594.09839,0.94406,594.14322
0.96902,594.23244,0.72266,594.67755
1,594.09677,1,594.14653
0.83729,594.19741,0.87301,594.23284
