,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos
Energy,70.82853,70.8401,70.85248,70.86521,70.87586,70.88855,70.89958,70.9118,67.02683,67.03589,67.04483,67.05248,67.06255,67.07237,67.08171,67.09077,67.10044
560,-0.36636,-0.26288,-1.55054,-1.71983,10.98795,37.84548,54.52531,63.80552,1.9354,1.63781,2.39125,4.07159,9.77333,42.51299,54.38833,61.20459,74.42089
560.2,-0.32398,-0.25387,-0.9109,-0.30603,10.19308,42.52374,56.59611,57.16759,1.22743,1.33079,1.73054,3.66451,10.62018,41.69056,53.9936,57.1145,68.26018
560.4,-0.17992,0.7191,-0.75775,-1.35776,11.91957,38.74113,56.41912,54.18483,0.97965,1.36588,1.61446,2.9831,10.62018,39.28869,54.40588,53.34874,69.09946
560.6,-0.17144,0.16955,-1.38838,-1.46983,6.44094,36.66287,66.47221,57.66759,1.40442,-0.485,2.73054,0.9654,12.05261,32.92421,48.40588,54.16856,76.15304
560.8,-0.43415,-0.64126,0.7918,-1.22845,5.08197,37.6107,56.87929,57.96931,0.87345,1.13781,3.64125,3.99195,7.07964,35.79336,49.76553,60.99739,78.36732
561,1.59127,0.92631,0.09811,0.09052,9.1247,38.88026,64.09168,68.92621,1.07699,1.0764,2.25732,4.23973,9.49405,34.13916,46.37956,63.08748,69.92089
561.2,0.33703,0.15153,-1.01901,-1.39224,14.01359,34.88026,70.50761,69.50379,2.51062,1.58518,2.65911,4.19549,12.02559,40.77467,60.17781,64.2136,70.67982
561.4,-0.72229,0.09748,-1.45144,-0.93534,10.11615,38.75852,73.33062,64.46931,1.92655,2.2957,2.10554,5.62912,12.36793,41.98028,56.81816,64.16856,74.68875
561.6,0.59975,0.55694,-0.17216,-1.02155,7.06487,36.21939,60.11823,54.96069,1.25398,2.60272,2.52518,5.77071,20.91748,42.52234,45.47605,69.87126,79.34946
561.8,2.12517,0.9173,-1.98297,-1.17672,8.61188,33.65417,59.22442,54.69345,0.71416,1.61149,2.10554,4.70876,16.43099,36.93355,49.63395,71.29468,68.01911
