Histogram Bin,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6
0.01946,181,91,102,132,111,86
0.05592,402,329,251,295,180,261
0.09239,492,344,407,372,335,403
0.12886,467,383,480,461,426,468
0.16533,484,433,485,494,491,505
0.2018,521,482,550,584,533,503
0.23827,795,782,827,754,781,780
0.27473,1525,1509,1537,1538,1618,1559
0.3112,2923,2946,2963,2902,2964,3041
0.34767,4525,4683,4736,4571,4678,4686
0.38414,5788,5965,5988,5821,5861,6048
0.42061,6520,6562,6446,6091,6215,6235
0.45708,5826,5760,5577,5284,5458,5250
0.49355,4318,4440,4374,4153,4196,3912
0.53001,2659,2754,2706,2542,2426,2449
0.56648,1228,1197,1269,1171,1013,1061
0.60295,396,388,377,354,279,311
0.63942,91,84,76,91,48,53
0.67589,18,30,15,8,5,7
0.71236,6,5,0,0,0,1
