Fund Intensity,1093.38,1093.38 err,1106.2,1106.2 err,1111.77,1111.77 err
0.01946,0.7029,0.30775,1.19055,0.45778,0.31043,0.0667
0.05592,0.52316,0.13399,0.55247,0.03384,0.553,0.07734
0.09239,0.60179,0.15798,0.55043,0.04568,0.55024,0.01856
0.12886,0.47892,0.16556,0.55153,0.0127,0.54535,0.07693
0.16533,0.5535,0.02519,0.6088,0.00962,0.52317,0.02206
0.2018,0.48317,0.08094,0.58061,0.01374,0.48718,0.05914
0.23827,0.50842,0.01602,0.5162,0.02106,0.49726,0.08718
0.27473,0.55854,0.00187,0.56374,0.014,0.43692,0.06108
0.3112,0.56908,0.00962,0.54437,0.02405,0.40823,0.04763
0.34767,0.55742,0.00522,0.543,0.03964,0.39218,0.01786
0.38414,0.53308,0.00428,0.53611,0.03396,0.36783,0.01386
0.42061,0.5233,0.00831,0.52547,0.03667,0.34536,0.02982
0.45708,0.50938,0.00568,0.5276,0.02747,0.31981,0.01088
0.49355,0.49548,0.00535,0.51118,0.02105,0.31145,0.00468
0.53001,0.47938,0.00684,0.52248,0.03003,0.2898,0.00698
0.56648,0.46637,0.01702,0.5149,0.01548,0.27563,0.00292
0.60295,0.46898,0.01946,0.48908,0.05289,0.26962,0.01149
0.63942,0.44512,0.01291,0.61182,0.03952,0.29567,0.02632
