Energy,TA,TA err
1078.46,-0.03567,0.04185
1079.05,-0.03439,0.03757
1079.64,-0.09795,0.02825
1080.23,-0.01158,0.03065
1080.82,0.01767,0.02246
1081.41,0.03524,0.02108
1082.01,0.03876,0.01209
1082.6,0.03934,0.01295
1083.2,0.04223,0.00997
1083.79,0.03311,0.00715
1084.39,0.017,0.0131
1084.98,0.01601,0.01227
1085.58,0.02132,0.01069
1086.18,0.01652,0.01116
1086.77,0.00981,0.01015
1087.37,-0.00177,0.00727
1087.97,-0.00606,0.00406
1088.57,-0.01534,0.00335
1089.17,-0.02252,0.00292
1089.77,-0.02288,0.00373
1090.37,-0.01601,0.00484
1090.97,-0.01584,0.00603
1091.57,-0.02694,0.00625
1092.18,-0.04508,0.00568
1092.78,-0.05138,0.00653
1093.38,-0.05058,0.00687
1093.99,-0.05434,0.00592
1094.59,-0.03958,0.00711
1095.2,-0.04841,0.00621
1095.8,-0.04985,0.00492
1096.41,-0.04105,0.00596
1097.02,-0.036,0.00559
1097.63,-0.03239,0.00595
1098.23,-0.02171,0.00652
1098.84,-0.01854,0.0057
1099.45,-0.02038,0.00549
1100.06,-0.02353,0.00417
1100.67,-0.02159,0.00403
1101.29,-0.01866,0.00349
1101.9,-0.0175,0.00325
1102.51,-0.01429,0.00414
1103.12,-0.0101,0.00491
1103.74,-0.01042,0.00528
1104.35,-0.01452,0.00505
1104.96,-0.01872,0.0062
1105.58,-0.02331,0.00661
1106.2,-0.02354,0.00698
1106.81,-0.02012,0.00681
1107.43,-0.02566,0.00659
1108.05,-0.03237,0.00526
1108.67,-0.04296,0.00372
1109.28,-0.05135,0.00297
1109.9,-0.06311,0.00318
1110.52,-0.07458,0.00317
1111.14,-0.0833,0.00391
1111.77,-0.08843,0.0057
1112.39,-0.08057,0.00907
1113.01,-0.08419,0.00946
1113.63,-0.07487,0.00768
1114.26,-0.07919,0.00706
1114.88,-0.07992,0.00413
1115.51,-0.07241,0.00285
1116.13,-0.06365,0.00265
1116.76,-0.0539,0.0067
